x	Counts
SRR660824	1213.89567000362
SRR2166176	1377.25859365577
SRR606939	1334.33478642935
SRR2167642	1233.44959250134
SRR2165473	1294.33454520392
SRR603858	1089.80948360529
SRR607445	1007.67703361649
SRR661651	315.429277874459
SRR663753	1126.87008287816
SRR808704	1022.70577390286
SRR660306	726.421920498992
SRR816015	1169.78603304788
SRR1389909	1049.8158071575
SRR812970	1040.04352395885
SRR1485892	1067.61447007943
SRR1380716	1128.39345589882
SRR1455060	980.876751038131
SRR1499584	1054.12828023502
SRR1073217	1035.36014955976
SRR665551	884.545531298999
SRR664854	935.365456519117
SRR817070	1005.38987197822
SRR656107	505.716112135362
SRR811697	1012.13596498785
SRR810713	1007.24744559505
SRR1337909	1021.10431276599
SRR1397094	968.163085617796
SRR817686	956.942105897962
SRR818821	967.821475954994
SRR612803	759.203645949997
SRR1330792	931.306614745766
SRR815116	950.197029481193
SRR1468613	983.845408963248
SRR815256	934.638747695436
SRR1320785	940.683081482503
SRR1392593	945.307648569016
SRR1410823	969.402846460017
SRR613282	823.360390785189
SRR1359328	846.680324620501
SRR1499543	902.332598170133
SRR1486995	882.519203266882
SRR1487107	904.735772007512
SRR815184	896.462067301894
SRR1443419	871.842049037683
SRR1403934	921.909316470527
SRR1330831	892.391974085497
SRR1081961	880.246049933663
SRR813043	744.035494598274
SRR815140	840.805486155384
SRR1349562	843.48612092286
SRR656874	780.795923290315
SRR818057	872.640160587212
SRR816969	784.968726846667
SRR1381693	908.3776211727
SRR1335338	783.371228698933
SRR659037	719.883315815773
SRR1355396	921.418422730327
SRR808220	853.244171821424
SRR1341480	863.120044109792
SRR1353376	770.335148267485
SRR1475930	778.867722315075
SRR1394713	869.322656236539
SRR657516	803.771542291986
SRR1499040	892.941657907886
SRR1091008	807.635818529559
SRR1454761	877.64868962903
SRR1409282	867.850595309888
SRR662031	720.045109154505
SRR821124	823.757309991902
SRR1404401	839.960955941899
SRR1325483	803.183589778934
SRR1375394	808.165136033909
SRR1335188	771.975894687872
SRR808862	823.862432586109
SRR1380886	813.070024294846
SRR1453591	764.302789599738
SRR615407	380.829109016662
SRR1443092	842.116701414615
SRR657372	703.596877853783
SRR1456250	768.67568964626
SRR1075825	762.67174388752
SRR1331311	758.101797129417
SRR1313664	774.930509847166
SRR1454671	831.428674810896
SRR1433708	809.076416768613
SRR1498997	705.119682271654
SRR1454460	726.731257645984
SRR1415637	761.589399865603
SRR661167	632.342557334114
SRR1081283	742.308716853042
SRR1416386	791.117890311353
SRR1447523	625.909213088202
SRR615177	604.597515378121
SRR1477883	769.902665540948
SRR1404623	674.620225028861
SRR1348339	798.444388924307
SRR1322010	724.21484570188
SRR1394495	781.6229301997
SRR1442087	742.433533780175
SRR1467904	775.130330651136
SRR1452399	773.523493633372
SRR1420493	793.36993641987
SRR1472347	747.646656443303
SRR1442648	769.72526147113
SRR1433902	748.548270930613
SRR1321064	799.97299998277
SRR655435	719.647828109654
SRR663440	665.129503592536
SRR1454695	673.142254079294
SRR1085134	720.599703637335
SRR1076441	742.01488705481
SRR1447215	740.621603459862
SRR1074385	728.249203094578
SRR1486174	709.726777745232
SRR1321921	709.880059272533
SRR1092038	693.730447817771
SRR1452270	726.772145355549
SRR603596	554.678636042525
SRR1481036	713.721901545566
SRR1480675	637.357547771249
SRR1347144	685.077209366439
SRR662990	592.738356565639
SRR1349433	696.76244464738
SRR1443113	712.580216069059
SRR1334982	731.003497768665
SRR1070713	720.658890018437
SRR1405266	712.040646484139
SRR1432275	726.080638213553
SRR1466198	712.772558884849
SRR1419342	679.712752209797
SRR1374739	725.017471612937
SRR1332424	701.960042731361
SRR1321283	750.354205076072
SRR658633	690.343091476127
SRR1447893	722.199975877458
