"SRR1071717"	"SRR1099957"	"SRR1093930"	"SRR1084917"	"SRR1081765"	"SRR1079830"	"SRR1086236"	"SRR1097296"	"SRR1120296"	"SRR1092208"	"SRR1085402"
"ENSG00000002726.20"	7	13	9	99	7	10	2	2	12	7	2
"ENSG00000002745.12"	7	6	5	9	2	1	7	7	7	3	5
"ENSG00000002746.14"	7	80	64	63	32	37	37	29	68	20	65
"ENSG00000002822.15"	541	665	618	499	475	621	464	423	449	488	361
"ENSG00000002834.17"	2029	5424	4407	3247	2496	2643	2541	1972	3704	1821	4441
"ENSG00000002919.14"	470	576	478	430	485	646	468	737	453	764	356
"ENSG00000002933.7"	321	1142	1994	691	1266	482	341	611	1417	597	928
"ENSG00000003056.7"	2517	4262	3100	2721	2495	3068	2717	2590	2924	2968	2611
"ENSG00000003096.13"	836	468	439	346	441	1003	1027	379	335	954	326
"ENSG00000003137.8"	409	251	477	90	197	87	203	388	133	117	180
"ENSG00000003147.17"	202	1716	1473	1718	673	269	255	233	1222	142	1740
"ENSG00000003249.13"	20	190	194	144	184	47	41	29	146	208	336
"ENSG00000003393.14"	874	920	976	626	813	1028	872	917	627	822	731
"ENSG00000003400.14"	178	329	687	776	292	212	245	269	698	111	330
"ENSG00000003402.19"	7365	8562	8096	5238	8459	11945	8608	8802	5814	6567	3873
"ENSG00000003436.14"	987	2234	2951	1607	1577	2066	2337	1376	1211	950	1665
"ENSG00000003509.15"	419	660	540	501	512	612	538	571	465	369	474
"ENSG00000003756.16"	6276	8341	8525	7520	4676	6002	7138	5748	7306	5717	6585
"ENSG00000003987.13"	96	130	98	63	68	120	74	73	48	68	49
"ENSG00000003989.16"	1309	2346	2295	957	1114	1261	1237	1767	647	455	1072
"ENSG00000004059.10"	2234	2946	2840	2138	1970	2336	1954	1985	2158	2413	2842
"ENSG00000004139.13"	1271	2173	1523	1227	1382	2124	1239	2176	1465	1657	1058
"ENSG00000004142.11"	2187	2330	1869	1491	2286	2992	2255	2561	1660	3304	1588
"ENSG00000004399.12"	2538	3588	3894	2246	2972	2874	3696	2969	2986	2689	3622
"ENSG00000004455.16"	1589	2444	2171	1674	1953	2229	1325	2051	1677	1806	1689
"ENSG00000004468.12"	31	97	99	179	180	93	28	161	141	38	81
"ENSG00000004478.7"	2089	3377	3169	2012	2217	3389	3090	2840	2320	4555	1942
"ENSG00000004487.15"	1946	3937	2863	2343	2450	2718	2077	1851	2471	2115	2478
"ENSG00000004534.14"	6030	6495	7305	5732	5605	6932	6698	5056	5618	6934	4944
