"SRR1071359"	"SRR1083776"	"SRR811938"	"SRR1082520"	"SRR1074140"	"SRR1076584"	"SRR1101693"
"ENSG00000181017.4"	0	0	2	0	0	0	0
"ENSG00000181019.12"	795	444	192	449	178	693	643
"ENSG00000181023.6"	3	2	1	1	1	2	1
"ENSG00000181026.14"	415	721	604	731	586	557	571
"ENSG00000181027.10"	847	1007	1428	741	861	663	729
"ENSG00000181029.8"	866	876	816	579	574	843	637
"ENSG00000181031.15"	229	234	276	308	197	464	155
"ENSG00000181035.13"	727	1088	1774	1094	1252	846	459
"ENSG00000181036.13"	40	43	32	25	33	36	14
"ENSG00000181038.13"	616	676	1051	525	546	581	428
"ENSG00000181045.14"	1149	621	1097	985	1176	1019	538
"ENSG00000181061.13"	793	2049	3304	2068	1498	1510	1875
"ENSG00000181072.11"	16	268	3	8	77	56	4
"ENSG00000181074.3"	59	5	36	28	13	18	8
"ENSG00000181085.14"	24292	1901	136	528	1179	7565	850
"ENSG00000181090.18"	2816	2742	3672	2204	2843	2404	1677
"ENSG00000181092.9"	3	7	13	5	6	14	26
"ENSG00000181097.5"	115	20	28	6	26	31	9
"ENSG00000181101.7"	4	2	7	3	4	2	3
"ENSG00000181104.6"	110	420	833	370	214	154	350
"ENSG00000181109.3"	5	0	1	2	1	1	1
"ENSG00000181123.8"	446	15	1	5	9	210	11
"ENSG00000181126.13"	80	19	143	38	56	105	47
"ENSG00000181135.15"	448	387	659	353	404	381	207
"ENSG00000181143.15"	3616	473	21	66	963	1314	2374
"ENSG00000181163.13"	6118	6113	14925	8514	7671	6038	5505
"ENSG00000181171.5"	0	0	0	0	0	0	0
"ENSG00000181191.11"	561	1082	1415	894	818	745	753
"ENSG00000181192.11"	497	843	1898	1000	772	670	519
"ENSG00000181195.10"	62	1	25	476	7	18	11
"ENSG00000181201.3"	1	0	0	1	0	0	0
"ENSG00000181211.1"	0	0	0	0	0	0	0
"ENSG00000181214.7"	0	0	0	0	0	0	0
"ENSG00000181215.13"	0	2	2	4	3	2	0
"ENSG00000181218.5"	161	41	179	179	51	73	67
"ENSG00000181220.15"	751	777	1334	1020	936	764	659
"ENSG00000181222.15"	9306	7540	9491	8200	6999	5847	6916
"ENSG00000181227.3"	87	105	157	89	98	74	57
"ENSG00000181234.9"	1359	1896	1927	1686	2037	1211	419
"ENSG00000181240.13"	20	55	28	6	87	12	31
"ENSG00000181260.8"	2	24	80	21	18	24	23
"ENSG00000181264.8"	567	482	629	765	821	563	314
"ENSG00000181273.2"	0	0	1	0	1	0	0
"ENSG00000181274.6"	268	249	386	348	235	216	162
"ENSG00000181282.4"	0	0	0	0	0	0	0
"ENSG00000181284.2"	186	69	83	63	52	115	112
"ENSG00000181291.6"	12	14	27	17	5	39	29
"ENSG00000181296.3"	0	0	0	0	0	0	0
"ENSG00000181315.10"	538	646	1054	624	661	550	325
"ENSG00000181322.13"	1083	74	53	36	59	615	38
"ENSG00000181323.7"	1	1	0	2	1	2	0
"ENSG00000181325.7"	0	0	0	0	0	0	0
"ENSG00000181333.11"	5	4	8	9	12	2	9
"ENSG00000181350.11"	4259	2486	5697	3658	2660	3386	3006
"ENSG00000181355.20"	0	0	0	0	0	0	0
"ENSG00000181358.3"	13	4	8	9	6	12	9
"ENSG00000181359.5"	12	5	5	2	2	6	5
"ENSG00000181371.3"	0	0	0	0	0	0	0
"ENSG00000181374.7"	4	29	5	46	7	14	454
"ENSG00000181378.13"	12914	518	6	134	251	3293	179
"ENSG00000181381.13"	1251	815	1152	1108	918	592	835
"ENSG00000181392.14"	540	108	70	56	114	377	75
"ENSG00000181395.6"	0	0	0	0	0	0	0
"ENSG00000181396.12"	1534	1113	1981	889	1133	1146	665
"ENSG00000181404.15"	1392	1127	1609	743	2001	1592	982
"ENSG00000181408.3"	0	3	0	3	0	6	0
"ENSG00000181409.11"	213	430	346	1089	341	297	587
"ENSG00000181418.7"	7	2	26	5	10	1	2
"ENSG00000181433.9"	0	1	1	1	1	1	0
"ENSG00000181444.12"	602	1081	802	663	866	677	491
"ENSG00000181449.3"	193	32	25	62	41	31	13
"ENSG00000181450.17"	303	283	376	281	274	263	115
"ENSG00000181458.10"	87	775	843	912	579	479	2226
"ENSG00000181467.4"	494	614	1158	689	604	397	857
"ENSG00000181472.4"	379	758	803	586	531	311	462
"ENSG00000181481.13"	768	661	1291	689	651	629	507
"ENSG00000181499.2"	0	0	0	2	0	1	0
"ENSG00000181511.5"	0	0	0	0	0	0	0
"ENSG00000181513.14"	1250	1006	1756	1051	1878	979	371
"ENSG00000181514.6"	0	0	0	0	0	0	0
"ENSG00000181518.3"	0	0	0	0	0	1	0
"ENSG00000181523.12"	2590	1475	2052	1335	1587	1976	1364
"ENSG00000181524.6"	1218	1512	4135	2029	1760	1189	1242
"ENSG00000181541.5"	2	1	10	11	4	20	31
"ENSG00000181544.13"	21	11	29	11	12	19	16
"ENSG00000181552.3"	0	0	0	0	0	0	0
"ENSG00000181555.19"	2673	3051	4871	2696	3259	2431	1736
"ENSG00000181562.3"	0	1	1	1	0	2	1
"ENSG00000181577.15"	30	13	10	3	2	5	15
"ENSG00000181585.3"	8	10	61	49	23	24	11
"ENSG00000181588.16"	354	590	780	595	561	426	301
"ENSG00000181609.5"	2	0	0	2	1	3	0
"ENSG00000181610.12"	639	872	1552	631	641	685	601
"ENSG00000181616.8"	0	0	0	1	0	3	0
"ENSG00000181617.5"	0	0	2	0	0	0	0
"ENSG00000181619.11"	963	282	322	211	268	489	213
"ENSG00000181625.17"	671	534	670	451	504	889	374
"ENSG00000181626.11"	1	0	0	0	1	0	0
"ENSG00000181631.6"	55	23	96	133	15	26	88
"ENSG00000181634.7"	152	8	9	22	14	66	37
"ENSG00000181638.17"	835	566	922	492	501	498	372
"ENSG00000181649.5"	22	137	76	91	117	112	215
"ENSG00000181652.18"	2458	693	502	370	342	1138	231
"ENSG00000181656.6"	0	7	55	12	10	6	7
"ENSG00000181666.17"	2422	1372	2012	1132	1411	1577	703
"ENSG00000181690.7"	1304	157	92	231	186	526	113
"ENSG00000181693.7"	0	0	0	2	0	1	0
"ENSG00000181698.3"	0	0	0	1	0	0	0
"ENSG00000181704.11"	1474	1439	2405	1572	1270	1382	1164
"ENSG00000181705.2"	0	0	0	0	0	1	0
"ENSG00000181718.5"	0	0	0	0	0	1	0
"ENSG00000181722.16"	2647	2614	5808	3527	2632	2453	1583
"ENSG00000181733.2"	0	0	0	1	0	1	0
"ENSG00000181741.7"	15	27	27	22	14	18	11
"ENSG00000181744.8"	477	613	1296	1449	691	501	531
"ENSG00000181751.9"	298	130	283	200	144	292	168
"ENSG00000181752.3"	0	0	0	0	0	2	0
"ENSG00000181754.6"	191	243	972	488	527	278	174
"ENSG00000181761.5"	0	0	0	2	0	1	0
"ENSG00000181767.2"	0	0	0	2	0	1	0
"ENSG00000181773.6"	7	59	57	101	39	17	73
"ENSG00000181778.4"	31	256	382	85	191	27	76
"ENSG00000181780.4"	0	0	0	0	0	0	0
"ENSG00000181781.9"	9	10	12	10	7	7	3
"ENSG00000181785.1"	0	0	0	1	0	0	0
"ENSG00000181786.4"	1	4	2	1	3	2	0
"ENSG00000181788.3"	710	1706	1638	1306	1382	1260	1126
"ENSG00000181789.14"	4091	4552	4429	2903	2820	4160	4712
"ENSG00000181790.10"	127	118	227	137	134	319	120
"ENSG00000181798.2"	38	12	23	12	4	13	4
"ENSG00000181800.5"	40	21	36	21	30	20	27
"ENSG00000181803.3"	0	0	0	0	0	0	0
"ENSG00000181804.14"	128	565	1568	922	536	297	626
"ENSG00000181817.5"	253	803	950	535	602	401	579
"ENSG00000181819.14"	50	48	100	61	50	38	41
"ENSG00000181826.9"	130	165	237	136	155	112	153
"ENSG00000181827.14"	893	678	1166	724	595	770	444
"ENSG00000181830.8"	526	629	1109	658	729	598	806
"ENSG00000181837.6"	0	0	0	0	0	0	0
"ENSG00000181847.11"	44	53	30	38	58	11	14
"ENSG00000181852.17"	861	1176	2863	1559	1412	943	1085
"ENSG00000181856.14"	328	2417	1805	651	809	623	828
"ENSG00000181867.2"	1	0	1	1	0	0	2
"ENSG00000181873.12"	213	366	605	369	287	265	289
"ENSG00000181885.18"	4365	499	62	143	352	2019	423
"ENSG00000181894.14"	359	454	843	511	451	357	276
"ENSG00000181896.11"	229	194	253	187	148	193	134
"ENSG00000181903.4"	0	0	0	1	0	0	0
"ENSG00000181904.8"	981	1995	2943	1729	1526	1447	1473
"ENSG00000181908.5"	27	51	20	7	7	13	11
"ENSG00000181915.4"	356	759	1068	701	463	451	654
"ENSG00000181924.6"	651	998	896	563	595	743	732
"ENSG00000181927.2"	0	0	0	0	0	0	0
"ENSG00000181929.11"	1229	1578	2751	1186	1199	1173	1216
"ENSG00000181938.13"	132	154	150	87	118	120	58
"ENSG00000181939.2"	0	0	0	0	0	0	0
"ENSG00000181943.4"	0	0	0	0	0	0	0
"ENSG00000181950.3"	0	0	0	0	0	0	0
"ENSG00000181958.3"	0	0	0	0	0	1	0
"ENSG00000181961.3"	0	0	0	1	0	0	0
"ENSG00000181963.5"	0	0	0	2	0	0	0
"ENSG00000181965.5"	0	0	0	0	0	0	0
"ENSG00000181977.3"	0	0	0	0	0	0	0
"ENSG00000181982.18"	1405	865	1331	788	1046	660	734
"ENSG00000181984.11"	2	1	2	8	16	8	6
"ENSG00000181991.15"	429	629	950	563	465	536	485
"ENSG00000181995.11"	2	0	0	0	0	1	0
"ENSG00000181997.8"	1	5	17	45	17	4	13
"ENSG00000182000.9"	11	0	3	1	3	4	0
"ENSG00000182004.12"	418	668	845	492	487	527	519
"ENSG00000182010.10"	44	19	5	5	10	17	16
"ENSG00000182013.17"	2356	1394	589	342	843	890	312
"ENSG00000182021.10"	6	6	3	14	8	10	4
"ENSG00000182022.17"	1255	1520	1850	3035	1352	1785	2310
"ENSG00000182035.11"	0	0	0	0	0	0	0
"ENSG00000182040.8"	3	12	19	18	8	19	0
"ENSG00000182048.11"	6	7	31	11	9	6	21
"ENSG00000182050.13"	9	5	17	24	5	15	29
"ENSG00000182053.12"	0	0	0	1	0	1	0
"ENSG00000182054.9"	1462	3077	2245	839	1163	1637	1956
"ENSG00000182057.4"	8	7	6	2	4	23	7
"ENSG00000182070.4"	0	0	0	2	0	1	0
"ENSG00000182077.10"	1	1	4	9	3	5	0
"ENSG00000182083.7"	0	0	1	1	0	0	0
"ENSG00000182087.12"	9775	8572	10486	7096	10539	8199	5312
"ENSG00000182093.14"	1953	731	1495	888	589	1088	463
"ENSG00000182095.14"	6453	8150	13874	7366	10050	6037	5366
"ENSG00000182103.4"	364	33	180	81	37	162	20
"ENSG00000182107.6"	1291	261	374	254	226	417	197
"ENSG00000182108.9"	964	1529	1939	1143	1150	1094	1027
"ENSG00000182109.7"	1330	458	648	488	500	673	297
"ENSG00000182111.8"	1	1	1	0	0	2	1
"ENSG00000182117.5"	498	979	1011	656	590	607	993
"ENSG00000182118.6"	59	291	476	206	239	156	329
"ENSG00000182132.13"	23	8	26	25	6	9	12
"ENSG00000182134.15"	151	131	122	86	50	162	79
"ENSG00000182141.10"	362	198	309	316	224	294	128
"ENSG00000182149.20"	4708	4257	6997	4529	4763	3668	3112
"ENSG00000182150.15"	509	658	756	493	497	455	363
"ENSG00000182154.7"	1757	1271	1680	1525	1533	904	605
"ENSG00000182156.9"	1	2	1	1	1	0	0
"ENSG00000182158.14"	1714	5777	5861	4197	3867	2752	3124
"ENSG00000182162.10"	60	58	133	200	43	36	101
"ENSG00000182162.10_PAR_Y"	0	0	0	0	0	0	0
"ENSG00000182165.17"	488	205	430	191	187	195	199
"ENSG00000182168.14"	192	408	887	742	315	213	341
"ENSG00000182170.3"	0	0	0	0	0	0	0
"ENSG00000182173.12"	2219	745	709	631	717	1354	524
"ENSG00000182175.13"	1045	3296	5403	3076	3982	1822	2093
"ENSG00000182177.13"	0	1	1	0	0	0	0
"ENSG00000182179.11"	5343	2793	3220	2380	2249	3132	2021
"ENSG00000182180.13"	1857	1727	1986	1205	966	1351	1321
"ENSG00000182183.14"	39	18	12	8	13	14	5
"ENSG00000182185.18"	238	63	180	92	71	104	57
"ENSG00000182187.3"	0	0	0	0	0	0	0
"ENSG00000182195.7"	1515	2177	3893	1330	1119	1247	1043
"ENSG00000182196.13"	4619	4159	6383	3421	3860	3891	2783
"ENSG00000182197.10"	567	801	2446	1011	851	731	913
"ENSG00000182199.10"	1156	1325	1973	1113	882	1277	1440
"ENSG00000182208.12"	892	1920	4155	1586	1864	1147	1100
"ENSG00000182218.9"	83	170	329	242	175	169	214
"ENSG00000182220.14"	2270	3720	6387	3096	2601	2374	3074
"ENSG00000182223.7"	1	0	4	0	0	0	0
"ENSG00000182224.11"	3973	955	1522	1069	952	2371	647
"ENSG00000182230.11"	4723	122	302	1507	427	2749	1000
"ENSG00000182240.15"	1284	1523	2214	1214	1561	1373	1635
"ENSG00000182247.9"	339	668	1194	705	459	377	552
"ENSG00000182253.14"	952	5686	12482	4231	7522	1792	6007
"ENSG00000182255.6"	11	4	20	10	2	6	11
"ENSG00000182256.12"	37	1	1	0	3	20	2
"ENSG00000182257.6"	23	44	105	35	33	27	30
"ENSG00000182261.3"	0	0	1	2	0	1	1
"ENSG00000182263.13"	115	275	1311	987	302	232	292
"ENSG00000182264.8"	17	19	21	21	16	34	23
"ENSG00000182271.12"	1	0	0	1	0	22	0
"ENSG00000182272.11"	509	1171	353	889	1254	3181	740
"ENSG00000182287.13"	346	894	1070	725	679	448	744
"ENSG00000182307.12"	1231	1534	2202	1400	1198	1068	1152
"ENSG00000182308.6"	18	7	31	18	16	19	11
"ENSG00000182310.13"	682	1232	758	1071	1131	679	689
"ENSG00000182315.9"	0	0	0	0	0	0	0
"ENSG00000182318.5"	147	132	247	187	158	158	126
"ENSG00000182324.6"	152	72	134	162	99	116	65
"ENSG00000182325.10"	746	772	833	514	765	1109	597
"ENSG00000182326.14"	5350	24674	67545	31305	22560	23278	42899
"ENSG00000182327.7"	59	39	39	22	27	45	14
"ENSG00000182329.11"	2490	140	6	26	71	1127	57
"ENSG00000182330.10"	1	0	0	1	0	1	0
"ENSG00000182333.14"	1159	176	192	90	174	82	39
"ENSG00000182334.1"	1	0	0	0	0	0	0
"ENSG00000182346.17"	0	0	0	1	0	0	0
"ENSG00000182347.10"	3	2	3	2	0	0	0
"ENSG00000182348.6"	0	0	1	0	0	3	0
"ENSG00000182351.7"	1	0	1	0	0	1	0
"ENSG00000182352.8"	0	0	0	1	0	0	1
"ENSG00000182359.14"	204	136	329	180	141	160	83
"ENSG00000182362.13"	360	162	356	235	220	278	104
"ENSG00000182365.4"	0	1	0	1	0	0	0
"ENSG00000182366.9"	29	11	17	3	3	24	4
"ENSG00000182372.8"	680	295	550	629	469	591	487
"ENSG00000182376.2"	4	4	16	8	9	3	6
"ENSG00000182378.13"	739	537	790	749	1036	705	444
"ENSG00000182378.13_PAR_Y"	0	0	0	0	0	0	0
"ENSG00000182379.9"	12	4	7	5	5	0	10
"ENSG00000182383.8"	8	6	34	12	7	13	9
"ENSG00000182389.19"	102	78	112	84	79	103	91
"ENSG00000182393.2"	2	1	0	0	0	0	0
"ENSG00000182397.14"	31	48	62	64	55	59	17
"ENSG00000182400.14"	542	817	1668	987	847	699	523
"ENSG00000182405.5"	306	115	174	129	73	218	67
"ENSG00000182415.9"	0	0	0	1	0	1	0
"ENSG00000182446.13"	3089	4018	5974	3071	3913	2553	2701
"ENSG00000182447.4"	0	0	0	0	0	1	0
"ENSG00000182450.12"	5	2	7	6	4	4	1
"ENSG00000182459.4"	3	1	1	1	1	1	0
"ENSG00000182463.15"	656	691	1560	1335	814	966	1271
"ENSG00000182472.8"	3004	2013	3199	1135	2190	1685	1225
"ENSG00000182473.21"	11499	5009	6026	3690	4368	6119	3388
"ENSG00000182477.5"	15	2	1	0	1	11	0
"ENSG00000182481.8"	189	851	874	505	660	531	971
"ENSG00000182484.15"	1320	901	1367	1240	1340	1210	519
"ENSG00000182484.15_PAR_Y"	0	0	0	0	0	0	0
"ENSG00000182487.12"	32	38	96	221	21	23	149
"ENSG00000182489.8"	86	3	9	5	23	52	4
"ENSG00000182492.15"	1863	5065	27667	5693	2826	4320	15907
"ENSG00000182504.10"	1074	331	665	474	402	662	228
"ENSG00000182508.13"	3	1	1	1	1	1	3
"ENSG00000182511.11"	1133	1250	1893	1300	1157	1145	2063
"ENSG00000182512.4"	714	1037	1542	828	667	801	698
"ENSG00000182518.13"	996	438	528	305	282	476	188
"ENSG00000182521.5"	2	1	1	2	3	1	0
"ENSG00000182531.7"	4	0	2	1	0	0	0
"ENSG00000182533.6"	2	1	11	16	3	3	1
"ENSG00000182534.13"	2785	7863	16658	10014	6336	3065	6024
"ENSG00000182541.17"	4126	1478	2309	1845	1704	2177	1221
"ENSG00000182544.8"	527	626	1071	481	504	585	589
"ENSG00000182545.6"	11	4	5	3	3	7	6
"ENSG00000182551.13"	1745	2330	6311	3199	1653	1445	2513
"ENSG00000182552.14"	331	462	858	585	376	426	315
"ENSG00000182557.7"	109	10	41	20	8	66	12
"ENSG00000182565.8"	0	0	0	0	0	0	0
"ENSG00000182566.13"	1	12	29	13	11	9	1115
"ENSG00000182568.16"	3084	698	1506	1072	876	1373	620
"ENSG00000182574.8"	6	0	3	5	1	4	3
"ENSG00000182575.7"	406	804	2682	689	1376	327	279
"ENSG00000182578.13"	1348	722	2232	1024	692	643	1976
"ENSG00000182580.2"	247	418	1339	473	415	370	325
"ENSG00000182583.12"	5	1	1	1	0	3	2
"ENSG00000182584.4"	60	48	84	35	47	61	46
"ENSG00000182585.9"	1	3	0	1	7	6	150
"ENSG00000182586.7"	4	3	9	7	14	1	4
"ENSG00000182591.5"	1	0	1	1	0	0	0
"ENSG00000182600.9"	230	155	236	141	177	216	95
"ENSG00000182601.6"	1	0	0	9	2	5	0
"ENSG00000182606.14"	3438	1701	2716	1591	1413	1875	1373
"ENSG00000182612.10"	89	21	59	41	23	101	13
"ENSG00000182613.1"	19	0	0	1	0	11	0
"ENSG00000182621.17"	325	675	707	366	223	412	311
"ENSG00000182625.3"	1	3	4	4	2	0	0
"ENSG00000182628.12"	573	729	1259	713	527	463	455
"ENSG00000182631.6"	0	0	0	2	0	0	0
"ENSG00000182632.15"	1	2	1	5	4	5	2
"ENSG00000182634.7"	0	0	0	4	0	1	0
"ENSG00000182636.5"	1287	3435	3958	2250	1733	1678	1536
"ENSG00000182645.5"	0	1	0	0	0	0	0
"ENSG00000182648.11"	266	90	113	102	78	131	60
"ENSG00000182652.1"	0	0	0	0	0	0	0
"ENSG00000182667.14"	7	43	123	145	59	19	44
"ENSG00000182670.13"	6522	5076	6826	5284	5295	4991	4333
"ENSG00000182674.5"	52	0	0	4	0	5	2
"ENSG00000182676.4"	10	2	5	4	3	1	3
"ENSG00000182685.7"	339	415	398	277	622	410	196
"ENSG00000182687.3"	8	0	1	5	0	8	3
"ENSG00000182698.11"	0	0	0	0	0	0	0
"ENSG00000182700.4"	638	517	1414	808	839	562	336
"ENSG00000182704.7"	1049	3733	3486	7077	2540	3549	4543
"ENSG00000182707.4"	0	0	0	0	0	0	0
"ENSG00000182712.15"	308	484	759	374	439	307	265
"ENSG00000182718.16"	7720	7127	10349	5840	4355	5765	13373
"ENSG00000182722.5"	8	7	4	5	5	11	2
"ENSG00000182732.16"	68	144	157	284	147	63	41
"ENSG00000182742.5"	2076	520	533	449	756	1761	269
"ENSG00000182747.4"	4	0	1	0	2	1	0
"ENSG00000182749.5"	2413	650	1219	1035	628	1003	409
"ENSG00000182752.9"	404	336	350	482	434	662	727
"ENSG00000182759.3"	0	1	3	4	2	3	2
"ENSG00000182768.8"	3001	4752	6044	4055	3615	3063	2926
"ENSG00000182771.18"	256	455	910	759	445	498	273
"ENSG00000182774.10"	10587	12657	27791	13025	12048	10915	11015
"ENSG00000182776.4"	92	3	2	0	0	63	0
"ENSG00000182782.7"	8	8	12	90	26	5	43
"ENSG00000182783.4"	1	0	0	0	0	1	1
"ENSG00000182791.4"	42	18	13	20	9	16	6
"ENSG00000182793.11"	1	0	0	0	0	1	0
"ENSG00000182795.12"	301	7	10	7	176	82	32
"ENSG00000182796.13"	3377	2072	3765	4861	3049	2160	1557
"ENSG00000182798.10"	1	0	2	3	2	2	4
"ENSG00000182809.10"	9846	5350	8535	4100	4252	5596	4644
"ENSG00000182810.6"	223	375	526	237	249	209	288
"ENSG00000182814.7"	1	2	6	1	3	1	1
"ENSG00000182816.8"	0	0	1	0	0	0	0
"ENSG00000182824.7"	1	1	0	1	0	1	0
"ENSG00000182827.8"	1147	1539	2212	1389	1158	1307	1570
"ENSG00000182831.11"	2196	2886	6136	4452	3248	2466	2756
"ENSG00000182836.9"	91	351	1000	1665	246	364	720
"ENSG00000182841.12"	2802	1120	1152	876	2003	2087	586
"ENSG00000182853.11"	20	19	45	25	15	11	32
"ENSG00000182854.6"	0	1	0	1	0	0	0
"ENSG00000182858.13"	800	968	1215	811	768	937	812
"ENSG00000182866.16"	233	112	87	94	97	79	47
"ENSG00000182870.12"	72	190	13	68	141	179	146
"ENSG00000182871.14"	21783	14863	24660	16457	9887	14927	18468
"ENSG00000182872.15"	3184	2477	3527	2167	2559	2779	1569
"ENSG00000182873.5"	191	128	269	195	195	183	107
"ENSG00000182885.16"	119	105	434	1466	223	183	966
"ENSG00000182888.5"	4	1	10	2	1	1	4
"ENSG00000182890.4"	332	543	957	476	439	328	498
"ENSG00000182896.12"	3	0	1	0	1	0	1
"ENSG00000182898.3"	0	0	0	0	0	1	0
"ENSG00000182899.14"	8862	10848	28358	15083	11607	8612	8308
"ENSG00000182901.16"	0	3	6	6	1	1	0
"ENSG00000182902.13"	35	304	514	377	506	205	84
"ENSG00000182903.15"	1065	1116	1850	1049	1000	819	566
"ENSG00000182912.6"	45	142	113	79	237	143	12
"ENSG00000182916.7"	80	394	740	482	345	191	209
"ENSG00000182919.14"	1577	579	1251	936	742	907	318
"ENSG00000182921.9"	0	0	0	0	0	0	0
"ENSG00000182923.16"	806	782	1279	926	699	675	682
"ENSG00000182931.9"	4	0	3	4	7	7	2
"ENSG00000182934.11"	2650	5963	7102	4517	4636	3552	5095
"ENSG00000182938.4"	1	1	1	0	0	1	1
"ENSG00000182944.17"	11738	10411	12211	7574	9770	9892	6657
"ENSG00000182950.2"	40	17	27	57	10	45	23
"ENSG00000182952.4"	698	1916	2297	1372	1260	905	1122
"ENSG00000182957.15"	2402	1112	1499	1383	842	1499	882
"ENSG00000182963.9"	229	999	1453	607	702	301	423
"ENSG00000182965.6"	1	0	2	0	0	0	0
"ENSG00000182968.4"	0	1	1	2	0	0	1
"ENSG00000182973.18"	1057	731	1157	679	612	916	496
"ENSG00000182974.3"	0	0	0	0	0	0	0
"ENSG00000182979.17"	5112	4106	4513	3237	4467	4733	2417
"ENSG00000182983.14"	851	902	1035	769	1029	938	399
"ENSG00000182985.16"	1171	738	343	546	377	695	312
"ENSG00000182986.12"	1548	653	1218	762	780	1343	398
"ENSG00000182993.3"	402	5353	18167	5234	4704	1604	7999
"ENSG00000183010.16"	198	673	139	173	164	413	1256
"ENSG00000183011.13"	1223	928	1067	722	501	749	828
"ENSG00000183018.8"	398	1493	1767	1296	1173	596	941
"ENSG00000183019.7"	3	4	40	168	9	15	385
"ENSG00000183020.13"	3513	3315	5179	3089	3622	3039	3643
"ENSG00000183022.5"	4	10	8	6	3	3	8
"ENSG00000183023.18"	420	1421	2985	1379	399	771	607
"ENSG00000183024.3"	0	0	0	1	0	1	0
"ENSG00000183032.11"	129	117	190	76	66	76	30
"ENSG00000183034.12"	1	1	0	2	0	18	0
"ENSG00000183035.12"	1	0	0	0	0	2	0
"ENSG00000183036.10"	15	12	187	67	24	132	41
"ENSG00000183044.11"	413	624	3154	1103	693	458	395
"ENSG00000183048.11"	2027	317	260	242	218	650	193
"ENSG00000183049.12"	428	606	870	632	570	344	545
"ENSG00000183054.11"	910	840	1483	1054	1293	837	691
"ENSG00000183055.5"	6	12	14	12	10	9	15
"ENSG00000183060.15"	701	1584	2449	1311	1608	845	720
"ENSG00000183066.14"	176	60	60	68	70	110	37
"ENSG00000183067.5"	9	3	7	19	9	11	4
"ENSG00000183072.9"	1	1	1	1	0	3	5
"ENSG00000183077.15"	1348	332	611	462	337	991	346
"ENSG00000183087.14"	22084	11575	25673	13735	11794	12653	11916
"ENSG00000183090.5"	0	1	2	1	0	1	2
"ENSG00000183091.19"	169	52	222	73	67	88	92
"ENSG00000183092.16"	348	670	419	412	1539	507	253
"ENSG00000183098.10"	184	369	1245	621	214	458	529
"ENSG00000183111.11"	1097	801	2094	1112	1104	587	336
"ENSG00000183114.7"	36	56	83	99	45	44	115
"ENSG00000183117.18"	256	21	13	22	44	129	2
"ENSG00000183122.4"	0	0	0	0	1	2	0
"ENSG00000183128.7"	7	2	2	5	3	2	0
"ENSG00000183134.4"	60	97	142	69	56	54	48
"ENSG00000183137.14"	183	189	325	209	181	214	195
"ENSG00000183145.8"	2	0	0	4	1	3	0
"ENSG00000183146.4"	0	0	0	0	0	0	0
"ENSG00000183148.6"	29	3	19	22	0	11	6
"ENSG00000183150.7"	11	4	4	11	5	7	4
"ENSG00000183153.6"	38	29	30	24	24	54	24
"ENSG00000183154.1"	13	29	28	24	10	8	14
"ENSG00000183155.4"	151	159	229	156	136	153	249
"ENSG00000183160.8"	566	927	674	604	175	451	1452
"ENSG00000183161.4"	798	363	356	101	183	456	152
"ENSG00000183166.10"	3	10	17	14	5	4	9
"ENSG00000183169.6"	4	6	5	6	5	11	6
"ENSG00000183171.5"	97	94	94	98	111	115	45
"ENSG00000183172.8"	1263	1438	1494	1583	1314	1182	736
"ENSG00000183185.9"	0	0	0	0	0	0	1
"ENSG00000183186.7"	274	229	252	76	101	301	106
"ENSG00000183196.8"	981	213	10	20	107	360	70
"ENSG00000183199.6"	937	795	1459	685	759	990	769
"ENSG00000183206.17"	0	0	0	1	0	0	0
"ENSG00000183207.12"	5381	1824	1805	1102	1019	3213	1383
"ENSG00000183208.12"	447	177	275	181	157	322	116
"ENSG00000183230.16"	15	103	129	126	126	28	14
"ENSG00000183239.5"	3	0	5	2	2	5	1
"ENSG00000183242.11"	1549	570	771	866	926	857	392
"ENSG00000183246.6"	17	14	15	7	5	12	4
"ENSG00000183248.11"	746	105	18	19	62	296	36
"ENSG00000183249.8"	0	0	0	0	0	0	0
"ENSG00000183250.11"	80	66	53	51	22	47	46
"ENSG00000183251.3"	2	2	5	2	2	1	1
"ENSG00000183255.11"	6981	6131	13506	6713	7224	5846	7092
"ENSG00000183258.11"	2060	1967	2221	1485	1461	1734	1454
"ENSG00000183260.7"	496	142	147	150	135	257	120
"ENSG00000183269.5"	0	0	0	0	0	0	0
"ENSG00000183273.6"	1309	55	1	7	26	445	16
"ENSG00000183281.14"	153	97	107	44	206	145	47
"ENSG00000183283.15"	6643	6947	14474	7613	6836	3996	4858
"ENSG00000183287.13"	1199	97	763	1334	326	518	97
"ENSG00000183291.15"	2102	3343	4293	2941	1967	2549	3450
"ENSG00000183292.12"	4	1	1	0	1	1	0
"ENSG00000183298.5"	1449	1059	2206	1054	902	1183	908
"ENSG00000183303.2"	1	0	0	0	0	0	0
"ENSG00000183304.10"	0	2	1	0	0	0	0
"ENSG00000183305.13"	0	0	0	1	0	2	0
"ENSG00000183307.3"	32	29	48	47	28	32	28
"ENSG00000183308.6"	42	40	51	54	46	46	32
"ENSG00000183309.11"	774	791	1489	923	857	848	475
"ENSG00000183310.3"	0	0	0	0	0	0	0
"ENSG00000183313.4"	0	0	0	0	0	0	0
"ENSG00000183317.16"	227	24	4	13	10	228	14
"ENSG00000183318.11"	1	0	2	1	1	0	0
"ENSG00000183323.12"	1286	188	310	265	171	576	163
