"SRR1071359"	"SRR1083776"	"SRR811938"	"SRR1082520"	"SRR1074140"	"SRR1076584"	"SRR1101693"
"ENSG00000005075.15"	1035	992	1284	696	635	600	632
"ENSG00000005100.12"	1020	1140	1265	747	895	1051	972
"ENSG00000005102.12"	25	1307	585	507	394	100	677
"ENSG00000005108.15"	210	1338	671	569	413	434	376
"ENSG00000005156.11"	2427	2539	2087	1297	2008	1747	1358
"ENSG00000005175.9"	839	973	853	796	626	855	521
"ENSG00000005187.11"	1212	2528	3117	3230	4454	1918	1092
"ENSG00000005189.19"	504	178	170	102	276	147	92
"ENSG00000005194.14"	593	768	980	508	637	736	641
"ENSG00000005206.16"	9892	3604	3682	2796	3402	5360	2045
"ENSG00000005238.19"	531	622	1671	709	754	501	627
"ENSG00000005243.9"	185	926	1876	591	493	456	744
"ENSG00000005249.12"	234	622	1198	1710	456	426	307
"ENSG00000005302.17"	1333	884	1323	1267	865	860	1113
"ENSG00000005339.14"	4066	3780	9475	4951	5352	3263	2840
"ENSG00000005379.15"	10731	4016	4815	3085	4495	7166	1353
"ENSG00000005381.7"	12	5	24	20	8	20	22
"ENSG00000005421.8"	11	12	9	17	3	35	8
"ENSG00000005436.13"	920	915	1150	779	679	799	352
"ENSG00000005448.16"	4431	397	450	317	314	1791	292
"ENSG00000005469.11"	945	461	879	545	376	548	434
"ENSG00000005471.15"	24	20	23	28	12	15	12
"ENSG00000005483.20"	2926	3555	6081	3882	4041	2551	2296
"ENSG00000005486.16"	3568	1712	2245	1679	1499	1901	1251
"ENSG00000005513.9"	44	108	83	136	83	57	76
"ENSG00000005700.14"	1616	1865	2407	1595	1440	1500	1515
"ENSG00000005801.16"	678	583	556	306	439	841	490
"ENSG00000005810.17"	2173	2630	5801	3095	2656	1877	2920
"ENSG00000005812.10"	2117	2944	6424	2770	2772	1853	2032
"ENSG00000005844.17"	965	425	304	585	196	511	346
"ENSG00000005882.11"	1771	1072	4476	2074	1444	1091	615
"ENSG00000005884.17"	5221	1954	4700	1865	2962	3014	2936
"ENSG00000005889.15"	1281	2212	3390	1838	2165	1449	1304
"ENSG00000005893.15"	2138	2783	4375	3229	1923	2339	3487
"ENSG00000005961.17"	312	154	98	322	179	141	51
"ENSG00000005981.12"	20	10	22	41	7	31	12
"ENSG00000006007.11"	959	1752	2888	1245	1445	1056	1191
"ENSG00000006015.17"	1495	1297	1618	1189	1222	1549	929
"ENSG00000006016.10"	520	644	2657	295	237	494	611
"ENSG00000006025.11"	1241	842	1121	630	909	1217	368
"ENSG00000006042.11"	3156	1467	3568	3309	2325	2164	1994
"ENSG00000006047.12"	174	871	167	102	193	419	201
"ENSG00000006059.3"	1	0	0	0	0	1	0
"ENSG00000006062.13"	1320	965	1136	1118	1207	1261	1014
"ENSG00000006071.12"	31	55	247	59	96	149	69
"ENSG00000006116.3"	0	0	0	1	0	1	0
"ENSG00000006118.14"	282	426	241	472	258	462	518
"ENSG00000006125.16"	5320	4738	6860	4645	4176	4225	3912
"ENSG00000006128.11"	11	5	19	39	24	13	28
"ENSG00000006194.9"	1983	1531	2741	1633	1762	1363	900
"ENSG00000006210.6"	545	1542	2231	2669	1611	682	786
"ENSG00000006282.20"	2968	3227	2769	2091	2415	2607	2450
"ENSG00000006283.17"	349	956	209	663	428	474	907
"ENSG00000006327.13"	137	680	426	536	782	155	1871
"ENSG00000006377.10"	19	7	10	12	11	45	1
"ENSG00000006432.15"	264	89	23	48	70	250	68
"ENSG00000006451.7"	814	948	1281	1038	724	666	702
"ENSG00000006453.13"	2201	287	283	252	367	924	265
"ENSG00000006459.10"	1126	1103	1763	1237	1511	817	890
"ENSG00000006468.13"	39	100	228	109	55	63	153
"ENSG00000006530.15"	1542	973	1287	771	966	1049	568
"ENSG00000006534.15"	7051	656	615	683	403	2267	971
"ENSG00000006555.10"	686	142	11	28	137	508	59
"ENSG00000006576.16"	528	580	1103	802	651	511	513
"ENSG00000006606.8"	2	31	17	81	26	15	27
"ENSG00000006607.13"	1928	1017	1815	1115	1418	1203	757
"ENSG00000006611.15"	117	4	19	5	8	135	6
"ENSG00000006625.17"	627	574	922	472	546	654	504
"ENSG00000006634.7"	203	201	345	297	225	177	196
"ENSG00000006638.11"	58	279	683	200	156	109	246
"ENSG00000006652.13"	1380	1067	3144	3189	1717	1159	1338
"ENSG00000006659.12"	0	0	0	2	0	0	0
"ENSG00000006695.10"	254	391	529	234	210	282	275
"ENSG00000006704.10"	947	780	1018	630	984	659	358
"ENSG00000006712.14"	2260	1981	2879	2175	1749	1474	1347
"ENSG00000006715.15"	1654	1156	2613	1316	1129	1270	1013
"ENSG00000006740.16"	1623	720	1231	1049	900	1337	581
"ENSG00000006744.18"	2216	2233	3185	1472	1692	1797	1451
"ENSG00000006747.14"	2853	202	31	186	217	1304	76
"ENSG00000006756.15"	4119	1590	1580	1356	1281	1778	757
"ENSG00000006757.11"	713	489	524	334	280	446	330
"ENSG00000006788.12"	2	3	19	5	2	3	6
"ENSG00000006831.9"	1219	2236	4180	2214	2371	1494	1941
"ENSG00000006837.11"	139	60	130	91	93	97	33
"ENSG00000007001.12"	29	0	11	9	5	18	2
"ENSG00000007038.10"	105	32	4	6	18	262	83
"ENSG00000007047.14"	887	1192	1849	1479	1376	921	842
"ENSG00000007062.11"	1152	129	4	8	87	295	51
"ENSG00000007080.10"	1013	1271	2195	1116	1144	1196	1177
"ENSG00000007129.17"	23	24	43	28	8	19	34
"ENSG00000007168.12"	4455	5134	10653	5818	7008	3642	3902
"ENSG00000007171.16"	45	31	114	21	61	13	13
"ENSG00000007174.17"	16427	310	33	199	261	3264	181
"ENSG00000007202.14"	3115	4387	5769	3416	4060	3212	3934
"ENSG00000007216.14"	7	2	1	1	0	2	2
"ENSG00000007237.18"	2491	3077	4742	3764	2730	1668	4984
"ENSG00000007255.10"	859	250	635	287	235	375	184
"ENSG00000007264.14"	475	66	46	72	40	328	45
"ENSG00000007306.14"	19	0	4	6	6	237	4
"ENSG00000007312.12"	87	182	205	176	94	142	112
"ENSG00000007314.11"	14	80	88	90	40	20	22
"ENSG00000007341.18"	620	914	1069	629	661	633	451
"ENSG00000007350.16"	5	7	10	3	2	15	10
"ENSG00000007372.20"	74	70	179	130	113	53	47
"ENSG00000007376.7"	482	513	933	461	535	578	405
"ENSG00000007384.15"	1345	2329	3555	2419	3833	1704	1902
"ENSG00000007392.16"	4037	2750	4066	2821	4412	3510	1681
"ENSG00000007402.11"	293	278	634	290	335	267	133
"ENSG00000007516.13"	22849	946	323	619	571	9056	472
