"SRR1088832"	"SRR1096057"	"SRR1075223"	"SRR1077239"	"SRR1097035"	"SRR1097574"	"SRR1343393"	"SRR1089562"	"SRR1096876"	"SRR1089833"	"SRR1098612"
"ENSG00000003756.16"	9704	8441	4821	10267	14825	3834	8708	8437	7838	12901	9160
"ENSG00000003987.13"	186	157	68	80	125	49	57	153	141	103	87
"ENSG00000003989.16"	8421	8168	1485	3614	6156	695	1777	3204	5763	6145	2312
"ENSG00000004059.10"	2986	3137	2719	2762	2845	3304	3130	3344	3231	2348	2000
"ENSG00000004139.13"	2214	2098	387	1636	1326	345	1847	1472	1935	1068	1442
"ENSG00000004142.11"	2292	2521	1735	1655	1931	2004	2013	2025	2331	1585	1472
"ENSG00000004399.12"	8935	7647	2287	6549	3990	1453	9288	7150	8248	3548	4577
"ENSG00000004455.16"	2631	2836	1888	2688	2067	2847	2082	2050	2804	1775	2360
"ENSG00000004468.12"	77	116	61	69	8	69	87	52	96	17	167
"ENSG00000004478.7"	2430	5539	2478	1678	3330	4231	3471	2240	6741	2951	1462
"ENSG00000004487.15"	3331	2817	1825	2772	2856	2097	2402	2932	2931	2907	2354
"ENSG00000004534.14"	9514	7392	3574	9498	12924	2757	6679	9025	7527	13140	8370
"ENSG00000004660.14"	1063	1206	572	768	1990	586	1782	1367	1207	2004	708
"ENSG00000004700.15"	1847	1799	663	1130	799	709	1424	1539	1340	746	1005
"ENSG00000004766.15"	870	813	555	619	574	572	734	745	643	518	564
"ENSG00000004776.11"	30060	28949	5096	9295	28578	947	45806	20799	32013	29713	6292
"ENSG00000004777.18"	1838	1341	633	1603	2768	881	2179	1587	1618	2797	1347
"ENSG00000004779.9"	876	1379	739	592	879	705	845	893	1311	761	576
"ENSG00000004799.7"	8611	35027	861	5832	15019	306	996	7355	13684	12861	1706
"ENSG00000004809.13"	1	1	1	3	2	0	7	1	4	1	3
"ENSG00000004838.13"	58	38	20	401	52	22	36	34	43	52	1097
"ENSG00000004846.16"	21	27	9	18	106	2	28	844	9	95	9
"ENSG00000004848.7"	6	0	0	4	2	2	5	4	2	0	4
"ENSG00000004864.13"	647	734	477	751	778	371	631	660	607	613	713
"ENSG00000004866.19"	1088	785	485	723	917	397	969	762	713	907	662
"ENSG00000004897.11"	2136	2082	841	1375	1841	1125	1553	1613	1685	1788	1196
"ENSG00000004939.13"	3	2	1	2	9	2	2	5	5	3	2
"ENSG00000004948.13"	2	1	0	4	0	0	3	0	0	1	3
"ENSG00000004961.14"	260	428	289	258	247	343	238	231	326	207	235
"ENSG00000004975.11"	2724	1992	1562	2007	2910	2137	2019	2513	2036	2574	1822
"ENSG00000005001.9"	4	9	2360	1642	8	12768	5	7	7	18	874
"ENSG00000005007.12"	4862	5218	2593	3363	4444	3634	4856	4026	4696	3712	3338
"ENSG00000005020.12"	890	877	516	607	684	1224	461	613	531	763	398
"ENSG00000005022.5"	3233	4964	6100	2471	3390	7781	2440	3016	4473	2929	2292
"ENSG00000005059.15"	563	455	419	506	573	486	691	580	393	614	331
"ENSG00000005073.5"	3361	1782	394	2258	959	185	2764	2454	2003	955	2281
"ENSG00000005075.15"	899	1084	558	667	806	547	724	806	879	710	754
"ENSG00000005100.12"	864	1254	590	627	445	671	693	742	1171	519	675
"ENSG00000005102.12"	704	554	207	178	134	152	420	581	856	123	49
"ENSG00000005108.15"	1629	678	115	803	361	77	730	1139	652	305	626
"ENSG00000005156.11"	1692	1794	1235	1219	1974	1204	1383	1571	1936	1584	1441
"ENSG00000005175.9"	938	1011	448	520	554	522	754	712	1062	571	574
"ENSG00000005187.11"	1835	1937	370	760	1750	192	519	948	1263	870	588
"ENSG00000005189.19"	195	136	127	101	98	160	128	156	122	101	96
"ENSG00000005194.14"	665	989	917	653	621	986	704	682	800	515	591
"ENSG00000005206.16"	3105	2121	1811	3919	2957	1610	2962	2610	2426	2358	4552
"ENSG00000005238.19"	865	811	720	830	751	1185	909	863	611	696	474
"ENSG00000005243.9"	1238	651	389	540	1058	276	1474	1092	619	992	398
"ENSG00000005249.12"	1613	928	255	583	644	97	678	833	749	836	547
"ENSG00000005302.17"	1020	1058	749	988	864	595	767	889	951	824	782
"ENSG00000005339.14"	8168	4955	2468	4752	4526	2028	5235	6685	4287	4609	5016
"ENSG00000005379.15"	2296	2050	785	3908	3317	889	1806	2556	2459	2414	3466
"ENSG00000005381.7"	7	2	1	4	0	3	6	6	4	4	2
"ENSG00000005421.8"	8	12	3	9	10	1	5	4	6	2	5
"ENSG00000005436.13"	1177	878	490	674	1208	338	1085	963	739	1078	789
"ENSG00000005448.16"	368	393	166	527	480	288	322	341	347	364	670
"ENSG00000005469.11"	716	592	1283	443	388	1798	517	511	533	333	514
"ENSG00000005471.15"	40	24	10	23	29	19	40	30	17	19	19
"ENSG00000005483.20"	6061	4581	1910	3617	3809	2285	3800	4796	3624	3867	3897
"ENSG00000005486.16"	2216	1568	1291	2020	1613	1417	1400	1858	1675	1570	2260
"ENSG00000005513.9"	206	200	32	159	87	13	252	152	113	59	84
"ENSG00000005700.14"	1950	2056	1066	1097	1355	1270	1663	1542	1827	1327	1129
"ENSG00000005801.16"	425	728	516	681	407	353	385	734	675	489	480
"ENSG00000005810.17"	6156	4445	2825	2967	4404	3535	3087	3580	3611	4762	2831
"ENSG00000005812.10"	4445	3547	1708	2522	2856	1269	2419	2609	2214	2834	2121
"ENSG00000005844.17"	204	139	228	243	72	253	267	161	173	43	315
"ENSG00000005882.11"	3374	1526	831	1732	1599	775	2214	2762	1041	1343	1406
"ENSG00000005884.17"	3256	3170	1354	3161	2023	3884	2319	2438	1689	1315	1920
"ENSG00000005889.15"	2932	2073	952	1547	1646	654	1932	2240	1749	1816	1660
"ENSG00000005893.15"	4364	3989	3651	3207	3777	5134	4922	6282	4195	4434	3348
"ENSG00000005961.17"	119	42	25	172	320	49	73	180	62	269	114
"ENSG00000005981.12"	10	7	4	13	6	0	5	6	3	4	4
"ENSG00000006007.11"	1601	1613	912	1104	695	1434	1319	1266	1168	599	1128
"ENSG00000006015.17"	1451	1707	916	1494	1645	688	1445	1282	1665	1387	1132
"ENSG00000006016.10"	1749	6526	232	165	1364	185	2664	405	1692	255	166
"ENSG00000006025.11"	1110	959	342	1366	1593	330	1174	1296	1157	1296	1066
"ENSG00000006042.11"	3212	1680	760	2297	2235	406	1612	2871	1513	2081	2456
"ENSG00000006047.12"	419	198	56	89	90	154	254	323	152	51	110
"ENSG00000006059.3"	1	0	17	0	0	16	0	1	1	0	1
"ENSG00000006062.13"	1312	1222	653	696	945	991	1257	1084	1000	938	639
"ENSG00000006071.12"	596	233	215	247	667	7	301	284	758	741	183
"ENSG00000006116.3"	0	0	0	0	0	0	0	0	1	0	0
"ENSG00000006118.14"	209	426	283	1298	197	1374	342	485	315	185	1306
"ENSG00000006125.16"	7357	7500	2377	5014	5811	2243	5799	6511	6660	5951	4724
"ENSG00000006128.11"	32	28	0	1	3	0	50	14	12	2	7
"ENSG00000006194.9"	1626	1593	827	1234	1478	557	1359	1362	1353	1341	1198
"ENSG00000006210.6"	1641	2171	465	1013	1502	924	2580	1090	1362	1302	1379
"ENSG00000006282.20"	2906	1968	968	3320	4909	815	3490	3563	2131	4363	2306
"ENSG00000006283.17"	2032	1341	757	929	2608	97	3267	1872	3322	2389	553
"ENSG00000006327.13"	353	377	115	151	328	387	363	228	258	252	215
"ENSG00000006377.10"	13	6	4	232	10	3	6	5	2	16	177
"ENSG00000006432.15"	49	43	777	164	30	3204	23	58	31	29	138
"ENSG00000006451.7"	1529	1381	1049	947	1084	2104	1086	2130	1200	1288	851
"ENSG00000006453.13"	206	141	1519	996	252	3452	226	448	127	276	922
"ENSG00000006459.10"	1739	1397	1088	1980	1132	1466	2052	2085	940	1071	2255
"ENSG00000006468.13"	123	219	59	267	39	154	176	171	165	33	105
"ENSG00000006530.15"	1004	949	716	1419	742	801	836	816	932	733	933
"ENSG00000006534.15"	1232	534	568	1515	452	450	837	759	555	498	1990
"ENSG00000006555.10"	309	255	4382	437	215	6279	313	195	207	111	464
"ENSG00000006576.16"	953	781	364	691	734	507	745	756	665	820	617
"ENSG00000006606.8"	63	31	28	13	13	37	21	50	19	9	8
"ENSG00000006607.13"	1370	1327	915	1000	1705	1242	871	1154	1158	1523	1000
"ENSG00000006611.15"	7	3	3	10	5	3	5	7	2	7	20
"ENSG00000006625.17"	497	796	903	406	496	1116	334	387	591	428	396
"ENSG00000006634.7"	165	188	113	153	226	180	107	169	186	200	131
"ENSG00000006638.11"	861	711	135	157	250	47	734	472	395	214	174
"ENSG00000006652.13"	1703	1586	1178	1686	4176	1361	952	1224	1300	3797	1198
"ENSG00000006659.12"	0	1	0	12	1	0	0	1	0	0	0
"ENSG00000006695.10"	386	405	350	256	259	286	321	338	389	284	267
"ENSG00000006704.10"	1189	1375	1366	1086	1844	2362	935	1422	1884	1569	1038
"ENSG00000006712.14"	2260	2132	1144	1647	2116	2148	1738	1818	1962	1938	1525
"ENSG00000006715.15"	1988	1677	935	1445	1846	1155	1560	2170	1251	1864	1531
"ENSG00000006740.16"	726	646	128	520	1054	79	466	544	478	1100	474
"ENSG00000006744.18"	2128	1833	1330	1595	1610	1352	1459	1850	1853	1402	1431
"ENSG00000006747.14"	36	81	104	274	33	65	56	16	24	34	203
"ENSG00000006756.15"	1278	792	973	2113	763	782	938	1112	876	844	2311
"ENSG00000006757.11"	334	361	380	309	114	502	380	344	297	129	344
"ENSG00000006788.12"	14	16	21	5	36	18	5	40	15	28	4
"ENSG00000006831.9"	2218	2439	2215	1875	2111	4225	1492	1502	1912	1976	1347
"ENSG00000006837.11"	98	86	39	59	98	39	76	87	77	87	83
"ENSG00000007001.12"	2	4	4	4	11	1	3	2	4	3	5
"ENSG00000007038.10"	3	13	82	271	5	85	3	4	6	3	7
"ENSG00000007047.14"	1571	1717	789	1197	2261	1327	1297	1549	1536	1966	990
"ENSG00000007062.11"	17	21	4	1824	12	2	26	4	16	8	1922
"ENSG00000007080.10"	1504	1883	1024	1112	1803	1470	1244	1437	1948	1494	930
"ENSG00000007129.17"	24	29	14	28	5	13	15	21	38	2	30
"ENSG00000007168.12"	7692	6123	3859	4676	6484	5027	5083	5915	4951	6387	4364
"ENSG00000007171.16"	27	17	11	33	78	9	17	36	10	77	18
"ENSG00000007174.17"	26	52	17	446	29	11	49	38	29	29	1389
"ENSG00000007202.14"	4553	4375	1752	2675	3378	2248	3351	3188	4092	2954	2373
"ENSG00000007216.14"	2	0	0	0	0	1	0	4	3	2	1
"ENSG00000007237.18"	7964	3803	2575	2806	3739	1421	9157	5835	3880	3743	2728
"ENSG00000007255.10"	300	205	295	399	295	196	244	272	205	269	394
"ENSG00000007264.14"	75	28	56	38	12	69	54	22	32	14	51
"ENSG00000007306.14"	11	3	1604	1	24	2479	13	10	8	22	203
"ENSG00000007312.12"	205	317	45	121	105	49	197	180	357	109	94
"ENSG00000007314.11"	31	24	14	26	12	9	20	31	60	15	7
"ENSG00000007341.18"	963	737	640	650	834	492	590	719	662	933	566
"ENSG00000007350.16"	4	14	2	1	8	4	6	4	15	5	5
"ENSG00000007372.20"	140	88	28	65	26	38	59	79	70	23	64
"ENSG00000007376.7"	528	623	432	494	175	313	381	476	609	186	461
"ENSG00000007384.15"	5151	2951	2489	4300	6954	2499	2871	3444	2887	6643	3277
"ENSG00000007392.16"	3641	2895	1687	4716	5507	1261	3080	3917	2862	5062	3805
"ENSG00000007402.11"	462	265	141	285	371	73	454	416	255	343	240
"ENSG00000007516.13"	296	237	219	1267	298	480	250	254	213	240	1913
"ENSG00000007520.3"	1165	1074	859	829	937	735	1024	1055	1042	809	841
"ENSG00000007541.16"	2059	1790	1039	2136	1576	944	1934	2186	1745	1355	1896
"ENSG00000007545.15"	2452	1986	1083	2094	1942	1181	1855	2068	1965	1912	1911
"ENSG00000007866.18"	5401	4602	2295	2688	4081	2314	2889	4421	3836	3217	2270
"ENSG00000007908.15"	201	1288	20	61	542	98	318	336	1020	568	75
"ENSG00000007923.15"	1962	1819	1246	1552	1501	1193	1395	1662	1767	1406	1354
"ENSG00000007933.12"	56	116	20	45	82	25	27	43	34	37	124
"ENSG00000007944.14"	3007	818	965	2646	2750	864	1128	2245	943	3228	3111
"ENSG00000007952.17"	12	13	9	10	5	5	11	26	14	6	7
"ENSG00000007968.6"	6	1	108	4	6	722	9	3	3	2	13
"ENSG00000008018.8"	3714	3666	2056	2352	3358	2914	2671	3300	3491	3127	2070
"ENSG00000008056.12"	57	65	22	53	37	23	51	22	58	31	52
"ENSG00000008083.13"	730	697	864	588	279	1527	596	720	616	236	493
"ENSG00000008086.11"	1617	855	596	556	662	1412	776	1148	797	729	496
"ENSG00000008118.9"	3	25	1	43	11	2	16	4	5	14	8
"ENSG00000008128.22"	2605	2311	959	2320	2860	1234	1128	2230	2147	2691	1817
"ENSG00000008130.15"	2998	2757	1120	2490	2528	1431	2056	2316	2284	2424	1784
"ENSG00000008196.12"	33	15	3	9	11	1	35	17	4	4	15
"ENSG00000008197.4"	0	1	0	0	0	0	0	3	1	0	1
"ENSG00000008226.19"	451	455	447	1492	555	719	453	424	411	551	3899
"ENSG00000008256.15"	2653	1593	1034	2084	1830	969	1510	1699	1233	1636	1411
"ENSG00000008277.14"	937	641	200	523	647	139	858	793	609	541	394
"ENSG00000008282.8"	4602	3990	3691	2717	3840	5656	2905	4731	3112	3527	2922
"ENSG00000008283.15"	986	1230	1918	2326	767	2176	1414	1167	1614	586	2669
"ENSG00000008294.20"	5854	5113	1994	3282	5523	2677	4882	5151	4451	5399	2794
"ENSG00000008300.15"	150	98	67	127	347	130	32	87	79	300	120
"ENSG00000008311.14"	2620	2545	462	1794	1722	285	703	1563	2003	1512	1186
"ENSG00000008323.15"	12	21	844	169	24	1847	10	7	20	25	201
"ENSG00000008324.10"	319	406	209	315	359	364	237	238	364	370	198
"ENSG00000008382.15"	511	454	322	349	367	341	323	491	458	383	306
"ENSG00000008394.12"	1541	2247	1051	812	2303	770	958	1639	2402	2557	562
"ENSG00000008405.11"	1478	1245	351	815	1272	277	776	1033	955	1314	702
"ENSG00000008438.4"	5	2	1	1	5	2	2	1	2	3	4
"ENSG00000008441.16"	13370	7537	3842	6692	7240	4012	11750	11504	6125	6562	6225
"ENSG00000008513.14"	2200	2863	690	1606	1441	1144	1558	1421	2726	1361	1385
"ENSG00000008516.16"	103	110	102	342	102	121	121	129	120	94	335
"ENSG00000008517.16"	157	423	176	228	192	418	340	212	256	173	114
"ENSG00000008710.18"	14281	11334	2467	8580	10273	3457	9610	10722	11150	8359	6965
"ENSG00000008735.13"	113	164	58	136	72	124	266	113	114	47	107
"ENSG00000008838.18"	3849	3018	2075	2930	5062	2215	2420	3653	3363	4343	3083
"ENSG00000008853.16"	1270	1154	378	1189	1234	275	812	1015	819	1121	966
"ENSG00000008869.11"	1690	1243	1018	1303	987	1235	1055	1170	976	1009	1328
"ENSG00000008952.16"	4574	4370	1328	3217	4033	1159	3245	3661	3532	4217	2971
"ENSG00000008988.9"	21381	21746	12115	15387	38291	10582	13338	17133	21551	31904	13510
"ENSG00000009307.15"	18701	17581	8816	11289	17451	10469	11633	13654	12285	15981	10645
"ENSG00000009335.17"	3037	3225	1710	1660	1304	2173	2147	2317	2915	1293	1760
"ENSG00000009413.15"	5879	4169	2204	3596	4586	957	8389	4415	3318	4809	3302
"ENSG00000009694.13"	115	81	70	30	91	42	25	52	37	99	45
"ENSG00000009709.11"	0	0	0	2	0	1	0	1	1	0	9
"ENSG00000009724.16"	441	189	123	248	108	34	181	259	189	83	300
"ENSG00000009765.14"	2	0	1	4	2	16	4	1	0	2	2
"ENSG00000009780.15"	878	695	348	417	579	452	524	710	513	603	537
"ENSG00000009790.14"	310	127	302	222	57	274	196	119	141	43	288
"ENSG00000009830.11"	1051	1329	621	1529	1480	664	1001	1275	1395	1483	939
"ENSG00000009844.15"	1052	1145	724	589	453	1184	791	805	897	500	641
"ENSG00000009950.15"	26	46	245	756	25	158	36	13	21	15	835
"ENSG00000009954.10"	4705	4218	1544	2679	2646	1926	3732	3963	3524	2876	2663
"ENSG00000010017.12"	1933	1322	2245	1256	1814	5563	1204	1832	998	1911	1262
"ENSG00000010030.13"	10	107	77	52	34	234	22	32	80	23	25
"ENSG00000010072.15"	326	367	211	214	108	318	284	286	250	131	233
"ENSG00000010165.19"	1090	1069	528	723	687	495	783	871	972	627	758
"ENSG00000010219.13"	561	706	290	443	589	180	525	573	615	464	375
"ENSG00000010244.17"	6799	6751	5743	5714	7500	6994	5245	6353	6323	7124	5232
"ENSG00000010256.10"	3244	2925	3196	2552	3244	3002	2642	2839	2560	2796	2318
"ENSG00000010270.13"	1233	1564	242	1032	1279	224	1033	973	1315	1113	984
"ENSG00000010278.12"	9178	5677	11148	6259	4721	21569	7341	7294	4057	4535	6892
"ENSG00000010282.14"	6	20	2	50	28	4	7	191	14	25	98
"ENSG00000010292.12"	1599	1387	906	1290	873	2003	1031	1338	1164	852	1151
"ENSG00000010295.19"	2773	1715	780	1910	2317	264	3104	2413	1672	2118	1065
"ENSG00000010310.8"	23	15	86	540	11	808	16	9	11	7	661
"ENSG00000010318.20"	289	122	201	256	249	274	132	209	91	215	238
"ENSG00000010319.6"	721	379	317	419	779	182	471	395	317	960	189
"ENSG00000010322.15"	13182	8265	4527	14601	15100	5072	8596	9944	8698	13299	13662
"ENSG00000010327.10"	5322	7965	2293	7197	4775	1071	6238	6451	6978	3566	2303
"ENSG00000010361.13"	980	730	369	1062	669	400	759	926	651	607	999
"ENSG00000010379.15"	8	10	2	8	3	3	2	4	2	4	5
"ENSG00000010404.17"	8890	7085	2684	7099	7821	4734	4760	5556	5318	7147	6039
"ENSG00000010438.16"	8	16	997	18	11	2611	8	11	11	14	13
"ENSG00000010539.11"	233	221	163	200	101	119	194	195	173	84	227
"ENSG00000010610.9"	400	426	255	694	185	186	984	230	300	181	368
"ENSG00000010626.14"	364	264	147	487	404	153	352	345	292	375	931
"ENSG00000010671.15"	193	113	59	104	66	40	124	54	85	59	106
"ENSG00000010704.18"	371	323	222	454	248	244	497	455	254	206	287
"ENSG00000010803.16"	2776	2318	767	1994	3609	707	1781	1876	2106	3017	1603
"ENSG00000010810.17"	3853	3371	1005	2813	3028	426	3578	3591	3028	3554	1950
"ENSG00000010818.8"	1406	1683	750	746	826	980	649	900	1040	781	786
"ENSG00000010932.15"	455	76	63	102	121	67	475	372	79	85	130
"ENSG00000011007.12"	1767	2433	1032	1412	1704	1492	1681	1480	2102	1615	1289
"ENSG00000011009.10"	833	1227	886	1130	886	1465	789	968	1239	784	910
"ENSG00000011021.21"	2315	1704	799	2087	3433	902	1512	2122	1343	2910	1849
"ENSG00000011028.13"	8493	4217	3237	6105	7643	2648	15439	8096	5439	6479	4331
"ENSG00000011052.21"	6364	9287	5418	5089	8145	5692	5729	4879	9243	6886	3895
"ENSG00000011083.8"	47	37	3	8	15	3	22	24	14	3	5
"ENSG00000011105.11"	3179	2469	1095	3161	2817	1208	3699	4119	2081	2556	2106
"ENSG00000011114.14"	2156	1737	888	1329	1084	968	1576	1746	1396	1153	1307
"ENSG00000011132.11"	652	943	346	698	801	397	638	588	832	657	560
"ENSG00000011143.16"	534	469	414	599	612	351	500	579	412	505	659
"ENSG00000011198.7"	220	351	549	206	145	1032	203	205	261	128	153
"ENSG00000011201.11"	415	410	81	240	33	142	427	73	316	97	186
"ENSG00000011243.17"	3920	2696	2047	5371	6918	2185	2970	3647	2753	5709	4108
"ENSG00000011258.15"	1334	772	735	1152	1190	612	761	1102	718	1401	1100
"ENSG00000011260.13"	929	1051	607	788	1323	711	719	773	1068	1168	803
"ENSG00000011275.18"	3009	2060	859	1684	1979	770	2020	2063	1890	1640	1449
"ENSG00000011295.15"	1676	1553	1163	1337	1864	1061	1308	1186	1424	1898	1309
"ENSG00000011304.18"	7990	8813	5775	7309	7889	8492	7299	7404	8434	7377	5850
"ENSG00000011332.19"	35	9	1	12	28	9	12	7	18	11	11
"ENSG00000011347.9"	189	310	251	268	216	182	262	378	227	104	387
"ENSG00000011376.9"	629	660	385	373	404	461	561	570	633	431	439
"ENSG00000011405.13"	4080	3785	1152	2672	3430	1619	2715	3269	3002	3137	2516
"ENSG00000011422.11"	491	1090	175	587	590	569	696	598	1340	615	468
"ENSG00000011426.10"	44	21	186	33	17	1086	33	43	18	15	38
"ENSG00000011451.17"	4024	3440	1689	2463	2506	1404	3375	3724	3373	2017	1975
"ENSG00000011454.16"	4257	3144	1629	2158	2650	2438	2935	3156	2559	2515	2346
"ENSG00000011465.16"	72876	39078	23391	66583	51918	12066	94061	66774	30219	60241	40736
"ENSG00000011478.11"	358	330	217	349	317	222	237	228	312	297	323
"ENSG00000011485.14"	2705	2577	1319	1585	2044	1430	1650	2231	2627	1728	1666
"ENSG00000011523.13"	3070	2229	959	2085	2137	981	2140	2500	1789	2115	1735
"ENSG00000011566.14"	2033	1319	783	1270	1214	658	1125	1532	1126	1279	1340
"ENSG00000011590.13"	19	12	6	21	13	13	13	12	9	17	21
"ENSG00000011600.11"	325	379	144	559	237	102	487	166	215	175	255
"ENSG00000011638.10"	2098	833	2135	1205	1862	2124	879	1694	583	1755	1140
"ENSG00000011677.12"	39	14	4	5	16	29	85	23	17	19	5
"ENSG00000012048.20"	127	177	111	156	142	546	260	222	186	105	119
"ENSG00000012061.15"	2750	2409	1991	2174	2731	1687	2465	2461	2495	2289	2198
"ENSG00000012124.15"	164	37	100	98	121	37	40	41	47	59	207
"ENSG00000012171.18"	5705	3393	1327	6781	4191	798	6165	4134	3140	3023	6369
"ENSG00000012174.11"	844	702	312	460	640	307	619	709	643	621	514
"ENSG00000012211.12"	376	404	475	368	393	1076	305	365	436	394	298
"ENSG00000012223.12"	48	85	20	19608	22	5	57	105	66	25	7087
"ENSG00000012232.8"	2435	2115	650	1128	1402	1127	1745	1689	1850	1169	1165
"ENSG00000012504.13"	13	1	0	4	7	0	10	12	1	5	17
"ENSG00000012660.13"	2326	5379	1059	1868	3124	991	1721	1471	4924	3206	1645
"ENSG00000012779.10"	726	472	336	618	260	116	310	271	355	200	772
"ENSG00000012817.15"	9	7	8	9	7	14	14	8	6	5	7
"ENSG00000012822.15"	8826	5474	3598	9045	9353	4254	5347	7458	3850	9116	5945
"ENSG00000012963.14"	1340	1202	650	951	868	940	935	1022	962	796	1009
"ENSG00000012983.11"	5999	2978	1688	3173	4721	1956	2792	5079	2586	4935	3254
"ENSG00000013016.15"	659	677	319	301	391	1111	527	564	693	411	379
"ENSG00000013275.7"	2017	2292	1295	1302	1631	1397	1657	1895	2435	1356	1173
"ENSG00000013288.8"	3578	2697	1141	2425	2802	970	2672	2728	2411	2375	1829
"ENSG00000013293.5"	6	2	0	1	7	4	1	5	9	12	1
"ENSG00000013297.10"	284	295	38	234	1164	98	159	346	286	1229	41
"ENSG00000013306.15"	1746	2621	2618	2110	2684	3132	1771	2026	2798	2110	1675
"ENSG00000013364.18"	5417	7773	2901	6001	4570	4141	6051	6051	7512	4190	4214
"ENSG00000013374.15"	2666	2432	1233	2406	2828	1427	1851	2162	1921	2741	2091
"ENSG00000013375.15"	1818	2082	891	1558	1841	828	1891	1600	2237	1817	1496
"ENSG00000013392.7"	318	246	102	376	275	89	317	298	235	283	257
"ENSG00000013441.15"	7975	8180	4139	9188	9882	4287	5589	5675	6037	9874	6077
"ENSG00000013503.9"	441	543	481	220	208	746	439	283	507	181	219
"ENSG00000013523.9"	1280	951	449	1319	1331	417	1043	1138	946	1190	844
"ENSG00000013561.17"	1596	1500	759	1105	1501	662	1440	1163	1180	1384	957
"ENSG00000013563.13"	1232	870	932	1135	806	794	986	1005	713	735	920
"ENSG00000013573.16"	355	458	741	1900	1783	994	324	1067	464	1734	651
"ENSG00000013583.8"	1483	1166	936	1048	2081	695	1199	1490	1056	2006	830
"ENSG00000013588.6"	1387	1613	1345	701	5578	14131	1034	3223	966	4812	934
"ENSG00000013619.13"	1217	1723	127	994	623	142	646	1074	1900	580	717
"ENSG00000013725.14"	65	94	110	122	46	71	87	77	104	18	98
"ENSG00000013810.18"	240	218	300	316	112	1230	344	295	234	115	210
"ENSG00000014123.9"	1525	1253	768	1214	1389	885	1107	1184	1005	1219	1166
