"SRR1088832"	"SRR1096057"	"SRR1075223"	"SRR1077239"	"SRR1097035"	"SRR1097574"	"SRR1343393"	"SRR1089562"	"SRR1096876"	"SRR1089833"	"SRR1098612"
"ENSG00000000003.14"	2115	916	925	1496	1449	1281	1438	1998	921	1641	1747
"ENSG00000000005.5"	7	0	0	1	8	3	23	2	2	4	0
"ENSG00000000419.12"	883	1044	543	649	864	729	727	764	857	755	507
"ENSG00000000457.13"	1052	798	602	845	775	624	763	844	672	793	848
"ENSG00000000460.16"	509	398	239	400	486	297	347	477	350	502	368
"ENSG00000000938.12"	711	860	302	681	353	117	456	913	746	401	294
"ENSG00000000971.15"	1433	1999	285	3519	935	181	1768	1012	1358	791	2642
"ENSG00000001036.13"	1806	1406	831	1019	1680	446	1937	1624	1571	1867	1096
"ENSG00000001084.10"	890	902	1871	882	716	2115	974	736	662	754	848
"ENSG00000001167.14"	987	1124	426	707	921	731	963	1050	969	838	776
"ENSG00000001460.17"	225	287	286	218	196	390	182	174	221	196	316
"ENSG00000001461.16"	377	453	655	700	182	1583	289	252	280	183	746
"ENSG00000001497.16"	2202	1957	940	1558	3024	769	1637	1897	1977	2669	1373
"ENSG00000001561.6"	513	495	64	506	269	41	203	219	310	229	591
"ENSG00000001617.11"	1123	1562	2863	1521	602	7863	888	1359	1238	508	1372
"ENSG00000001626.14"	69	30	21	284	14	25	45	43	32	21	297
"ENSG00000001629.9"	2002	1869	954	1436	1327	1102	1346	1564	1574	1291	1411
"ENSG00000001630.15"	930	1389	1828	1048	716	3011	696	632	1062	731	803
"ENSG00000001631.15"	1820	1527	1017	1424	1182	974	1322	1500	1261	1242	1450
"ENSG00000002016.17"	664	752	218	827	1704	319	653	532	716	1684	542
"ENSG00000002079.12"	8	2	1	3	11	6	1	1	1	8	3
"ENSG00000002330.13"	1351	1370	762	1037	1404	1025	1310	1225	1310	1278	828
"ENSG00000002549.12"	1388	2291	903	1045	709	2199	1237	1231	2170	626	889
"ENSG00000002586.18"	11236	6886	5038	6502	12216	5179	12497	11990	7758	13030	5422
"ENSG00000002586.18_PAR_Y"	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000002587.9"	375	462	97	218	359	204	330	292	291	227	155
"ENSG00000002726.20"	2	2	17	88	3	31	13	2	7	4	265
"ENSG00000002745.12"	44	6	1117	13	14	190	63	21	14	47	2
"ENSG00000002746.14"	13	13	7	18	26	2	1	8	6	60	9
"ENSG00000002822.15"	926	547	598	555	757	613	702	913	620	768	525
"ENSG00000002834.17"	6579	6041	1637	3938	3756	2647	6436	4653	3783	3431	3203
"ENSG00000002919.14"	445	757	494	370	363	579	495	491	660	347	356
"ENSG00000002933.7"	1397	1084	801	813	974	261	1033	911	1197	852	1346
"ENSG00000003056.7"	3572	3295	1531	2680	3401	1964	2473	3153	3197	3138	2682
"ENSG00000003096.13"	2108	1532	161	688	865	100	2657	1790	1091	838	1016
"ENSG00000003137.8"	202	402	284	91	200	317	300	103	265	145	240
"ENSG00000003147.17"	465	354	271	1250	252	522	205	385	307	216	589
"ENSG00000003249.13"	43	43	410	147	37	710	27	52	33	43	97
"ENSG00000003393.14"	1075	1114	484	837	1058	535	862	1060	913	1031	853
"ENSG00000003400.14"	401	357	471	414	230	802	465	406	310	212	257
"ENSG00000003402.19"	7816	8385	3764	7257	8416	2717	4978	6180	6620	6957	5026
"ENSG00000003436.14"	4192	2559	880	2364	2029	289	1679	3613	2084	2641	2112
"ENSG00000003509.15"	725	808	350	599	722	347	611	551	680	678	570
