	T1	T2	smtsd	lib_size
SRR1486762	20.270668	30.038832	Adipose - Subcutaneous	169791.82374318875
SRR1362866	8.849397	25.358688	Adipose - Subcutaneous	185405.22918080137
SRR1085285	15.205815	29.522928	Adipose - Subcutaneous	176043.8638516192
SRR1395575	17.695946	33.159744	Adipose - Subcutaneous	170491.86200093766
SRR1490740	4.4890733	33.651066	Adipose - Subcutaneous	173722.99415151888
SRR1433004	4.4564843	35.108967	Adipose - Subcutaneous	174184.75405209424
SRR813824	11.942163	22.39056	Adipose - Subcutaneous	184781.45558867246
SRR1405331	11.7650175	34.048164	Adipose - Subcutaneous	175678.14350777626
SRR1361522	3.8532865	29.35887	Adipose - Subcutaneous	177885.37842113723
SRR1442464	11.710768	26.829834	Adipose - Subcutaneous	180910.65087104717
SRR1415398	16.446089	31.429028	Adipose - Subcutaneous	169035.7734656782
SRR1082883	11.809227	26.855654	Adipose - Subcutaneous	177895.74430898586
SRR1082376	9.639248	22.787506	Adipose - Subcutaneous	183902.71634007216
SRR1083311	13.766452	23.326609	Adipose - Subcutaneous	178788.43559597683
SRR665357	9.765975	18.831749	Adipose - Subcutaneous	192770.08284036053
SRR1367825	17.716318	28.382053	Adipose - Subcutaneous	173777.65500738722
SRR655816	10.740575	19.56232	Adipose - Subcutaneous	188528.03721519906
SRR1459190	16.424976	36.117912	Adipose - Subcutaneous	163651.91109386884
SRR1458113	14.202	25.311123	Adipose - Subcutaneous	177323.05835829704
SRR1464258	14.339666	29.405054	Adipose - Subcutaneous	181825.21403351153
SRR655182	12.518449	38.417305	Adipose - Subcutaneous	162950.65133984492
SRR1311018	6.3421607	33.960712	Adipose - Subcutaneous	173245.32456513046
SRR1071453	9.286889	33.606445	Adipose - Subcutaneous	170661.37360971858
SRR1431757	9.133246	20.272888	Adipose - Subcutaneous	191515.41155740115
SRR654862	11.291682	24.93318	Adipose - Subcutaneous	178455.54710286215
SRR807543	10.045835	21.817709	Adipose - Subcutaneous	185392.8130526141
SRR809853	3.968853	35.000397	Adipose - Subcutaneous	176579.91208067752
SRR1405660	16.656897	29.407122	Adipose - Subcutaneous	176060.37773170782
SRR1478547	18.75868	27.951094	Adipose - Subcutaneous	172299.52234705523
SRR1464766	6.9478917	30.023851	Adipose - Subcutaneous	177342.96997609956
SRR1332069	6.4122868	29.624628	Adipose - Subcutaneous	177570.59720335156
SRR1454201	9.44584	31.224508	Adipose - Subcutaneous	176557.56986453227
SRR1432253	10.882462	29.793581	Adipose - Subcutaneous	176472.11340822018
SRR612263	17.40458	38.92719	Adipose - Subcutaneous	162987.8473732582
SRR1420109	16.804493	36.062252	Adipose - Subcutaneous	165698.64929525036
SRR663489	10.967616	19.781303	Adipose - Subcutaneous	185726.92459909836
SRR1486973	10.294915	24.776861	Adipose - Subcutaneous	177559.14653529064
SRR1386689	22.898544	14.741233	Adipose - Subcutaneous	180889.78382649994
SRR1345146	12.423843	32.45107	Adipose - Subcutaneous	173953.6482994338
SRR613550	15.969047	33.908936	Adipose - Subcutaneous	170466.3834138527
SRR1453811	15.8518715	31.75404	Adipose - Subcutaneous	174053.00717094872
SRR1485722	9.4615555	26.868711	Adipose - Subcutaneous	180507.8546843118
SRR1100677	18.366371	35.3934	Adipose - Subcutaneous	162985.18501796701
SRR1337342	10.267716	34.52167	Adipose - Subcutaneous	171457.58155465036
SRR657599	10.038169	35.296314	Adipose - Subcutaneous	171905.60988024692
SRR612707	15.6522045	33.25219	Adipose - Subcutaneous	170490.689500657
SRR1070503	15.382537	30.681581	Adipose - Subcutaneous	175363.37220972477
SRR1396616	17.814966	33.498165	Adipose - Subcutaneous	169393.97433096837
SRR613675	-29.835999	15.16315	Adipose - Subcutaneous	149996.3283827111
SRR1338426	13.320188	31.593851	Adipose - Subcutaneous	176098.81539180625
SRR1473632	13.120532	36.7512	Adipose - Subcutaneous	169278.07452849695
SRR665310	8.835365	19.229446	Adipose - Subcutaneous	192398.29097361275
SRR1415004	6.507288	35.56953	Adipose - Subcutaneous	167441.61964788532
