	PC1	PC2	smtsd	lib_size
SRR656946	4.636223929662097	-12.82268776995824	Adipose - Subcutaneous	172215.88140533664
SRR665538	-115.75823489611271	-32.73727437524967	Adipose - Subcutaneous	189261.53458761863
SRR658081	-46.863192081640065	-18.232658483281895	Adipose - Subcutaneous	180064.63709467975
SRR660510	-27.577145249702603	-31.06853272114924	Adipose - Subcutaneous	173554.9120746628
SRR1430066	-44.23428742003104	-32.15638672679266	Adipose - Subcutaneous	176660.84421527386
SRR1326270	-39.11153791124326	-26.44536655380782	Adipose - Subcutaneous	177885.1942420294
SRR1413541	24.19512124740274	-27.754706229307427	Adipose - Subcutaneous	165690.589640375
SRR1383699	-85.18062019040354	-38.67830540159277	Adipose - Subcutaneous	185629.5462508981
SRR1309160	7.239361200025501	-30.982659161799926	Adipose - Subcutaneous	168755.62620113452
SRR2157314	-171.22942901330458	-29.5247841479944	Adipose - Subcutaneous	201328.71756339388
SRR599313	-37.289586406495765	-28.289227325172444	Adipose - Subcutaneous	182774.71261050878
SRR1077038	-35.15344750116236	-29.664802465597894	Adipose - Subcutaneous	175731.19939222973
SRR1069097	11.865554214446066	-32.26741255964209	Adipose - Subcutaneous	170882.86861000909
SRR665586	-169.29474978081666	-43.519097678691715	Adipose - Subcutaneous	198110.47567455232
SRR1417342	29.836176815478566	-20.67795669466485	Adipose - Subcutaneous	163518.10367181757
SRR663783	-16.207298020949665	-31.870668733961022	Adipose - Subcutaneous	171291.80150612135
SRR1347166	-49.716933442807886	-37.46778302488356	Adipose - Subcutaneous	180417.70817044523
SRR1432518	-30.969046540064472	-40.96223928535523	Adipose - Subcutaneous	175821.7861577047
SRR1351347	-80.39085920938645	-41.39338868046697	Adipose - Subcutaneous	182486.6703280962
SRR1429678	-42.215201873316715	-29.244612423299586	Adipose - Subcutaneous	177845.98580522073
SRR663076	-19.701002812797693	-16.506271223027078	Adipose - Subcutaneous	176081.3142907004
SRR1452033	-50.98454442167586	-22.042630136251546	Adipose - Subcutaneous	180708.54866961064
SRR813776	-57.703608055390674	-32.701008439583404	Adipose - Subcutaneous	182247.88010145916
SRR1314873	-45.23089882012767	-31.335642440549176	Adipose - Subcutaneous	178324.56545565993
SRR1378885	-53.66210201290891	-35.761082255578415	Adipose - Subcutaneous	178680.06310140304
SRR2167710	-154.63566113485592	-29.575431161974727	Adipose - Subcutaneous	197092.9489531496
SRR613927	40.47177419952686	-12.637522899939153	Adipose - Subcutaneous	164321.11196578576
SRR614419	-34.31480455716896	-37.40160373321972	Adipose - Subcutaneous	175800.93262501422
SRR1091380	53.02625482005842	-23.209569392651215	Adipose - Subcutaneous	162015.6862957666
SRR1385501	-6.177927152496037	-31.522259761676462	Adipose - Subcutaneous	170745.0069428828
SRR661267	-83.42333124898711	-26.745938561406362	Adipose - Subcutaneous	185600.30563394955
SRR1488610	11.666604154521405	-32.8708985698207	Adipose - Subcutaneous	170116.14527256996
SRR1468271	-2.5963435752987047	-22.363754373123882	Adipose - Subcutaneous	171299.56148735023
SRR1465893	-61.96243185541376	-28.08624781881379	Adipose - Subcutaneous	181405.52819445886
SRR1315931	-81.17025646754043	-26.236526283136406	Adipose - Subcutaneous	186832.4576563413
SRR1319731	-67.16359630237245	-26.03991496811013	Adipose - Subcutaneous	185263.9407503618
SRR1326579	-55.96217147567897	-41.743449923076824	Adipose - Subcutaneous	181767.00219607976
SRR1475566	-14.205106833479464	-20.47255005251282	Adipose - Subcutaneous	172942.55557238607
SRR1499174	-64.18074881308083	-31.21264937928652	Adipose - Subcutaneous	181388.87688962033
SRR1409374	-55.79192351949216	-28.61995851735734	Adipose - Subcutaneous	181314.07602310076
SRR1408471	-68.41071025450893	-37.404213771685946	Adipose - Subcutaneous	182862.00930713845
SRR817329	-81.46012876823715	-39.65216614343213	Adipose - Subcutaneous	183843.5150964163
SRR1347060	-89.41996716240719	-42.73308388166069	Adipose - Subcutaneous	184419.89858858119
SRR654730	-52.569895731438514	-28.821866776236003	Adipose - Subcutaneous	180217.7051332513
SRR1380393	-3.9062685813615206	-12.982121163552897	Adipose - Subcutaneous	172868.9025049483
SRR1437119	-88.47225983971374	-21.999038293691903	Adipose - Subcutaneous	187223.28027954648
SRR1403005	-59.558923892842955	-35.45377325262043	Adipose - Subcutaneous	179213.6286316031
SRR1499894	-68.04209789439987	-35.57617699988233	Adipose - Subcutaneous	180961.773781568
SRR1379495	-46.5659274245446	-21.89014411997393	Adipose - Subcutaneous	179866.450797871
SRR1455038	-15.2249744406122	-32.96160662178785	Adipose - Subcutaneous	175206.69406559673
SRR1399971	31.51946799464841	-9.296808174352162	Adipose - Subcutaneous	165713.01686828444
SRR1370329	-7.207788222575592	-9.322476434197672	Adipose - Subcutaneous	175943.72767628686
SRR661735	-121.63448155946529	-39.26501651398437	Adipose - Subcutaneous	195631.81646121555
SRR821715	-99.35012810735027	-32.45629143323667	Adipose - Subcutaneous	187759.84420766044
SRR613639	121.60096796062119	-1.5087339945705254	Adipose - Subcutaneous	151853.89364518377
SRR1465459	-24.6907993506451	-30.406884074990543	Adipose - Subcutaneous	173683.59371950285
SRR809161	3.284314263869314	-16.050996791107924	Adipose - Subcutaneous	169915.45182677792
SRR1334098	-18.856792492389946	-29.316304171998883	Adipose - Subcutaneous	172235.46246668397
SRR812943	-63.790800796026005	-38.259002444303526	Adipose - Subcutaneous	183905.5916815642
SRR1377423	-35.139550278606116	-27.11270418019774	Adipose - Subcutaneous	175858.51967239802
SRR1361652	46.59098125224286	-51.08982408137732	Adipose - Subcutaneous	162109.833023793
SRR1338147	-59.452052187850086	-36.30619169862269	Adipose - Subcutaneous	180221.98641658184
SRR1501020	-43.39471544911936	-25.78853446701235	Adipose - Subcutaneous	177176.4728951017
SRR1315081	7.703139759650253	-21.459411468368568	Adipose - Subcutaneous	167998.15652430034
SRR2164707	-135.19887333666017	-32.87353158850709	Adipose - Subcutaneous	191715.2180222927
SRR1488960	-14.30381946811682	-31.492781433544536	Adipose - Subcutaneous	174690.44198824675
SRR1447564	-28.511666151772673	-31.320093124278813	Adipose - Subcutaneous	177183.31784807442
SRR612863	-2.993949808591614	-25.030934116760047	Adipose - Subcutaneous	171936.1313810621
SRR1452935	-15.767851937284277	-37.34488655501171	Adipose - Subcutaneous	170786.12885323094
SRR1099072	-29.44315031292239	-28.246287730360205	Adipose - Subcutaneous	175732.49544698186
SRR1082173	-17.71425513985588	-32.13508383066917	Adipose - Subcutaneous	174658.83668158384
SRR1319903	4.122287395678446	-30.711164916387027	Adipose - Subcutaneous	169138.57924642068
SRR1345609	-56.21893558343227	-33.998048605802474	Adipose - Subcutaneous	180776.9507077266
SRR1486762	-5.664945694639135	-29.387534192605482	Adipose - Subcutaneous	169791.82374318875
SRR1362866	-69.29646339436862	-48.41457018916264	Adipose - Subcutaneous	185405.22918080137
SRR1085285	-22.095977947329253	-27.360074263829855	Adipose - Subcutaneous	176043.8638516192
SRR1395575	-0.49957645124728883	-22.3621176106533	Adipose - Subcutaneous	170491.86200093766
SRR1490740	-19.162852607990647	-22.014968838375673	Adipose - Subcutaneous	173722.99415151888
SRR1433004	-18.717553736777745	-30.572732178592066	Adipose - Subcutaneous	174184.75405209424
SRR813824	-76.56684577477185	-37.648055723188286	Adipose - Subcutaneous	184781.45558867246
SRR1405331	-9.301292263324896	-21.37966689588523	Adipose - Subcutaneous	175678.14350777626
SRR1361522	-41.67133878310942	-16.54209337330609	Adipose - Subcutaneous	177885.37842113723
SRR1442464	-48.58023776928771	-38.84465189964233	Adipose - Subcutaneous	180910.65087104717
SRR1415398	-9.002323686077661	-27.84318900184449	Adipose - Subcutaneous	169035.7734656782
SRR1082883	-35.81813670979783	-37.667039990209034	Adipose - Subcutaneous	177895.74430898586
SRR1082376	-78.27326634133698	-33.634072913119766	Adipose - Subcutaneous	183902.71634007216
SRR1083311	-62.45695165476484	-42.28774608869774	Adipose - Subcutaneous	178788.43559597683
SRR665357	-138.47528729022918	-50.976149950784865	Adipose - Subcutaneous	192770.08284036053
SRR1367825	-30.183778928762912	-32.85142447109352	Adipose - Subcutaneous	173777.65500738722
SRR655816	-110.15598358474189	-26.454539861177484	Adipose - Subcutaneous	188528.03721519906
SRR1459190	30.905242209653323	-25.0805729642597	Adipose - Subcutaneous	163651.91109386884
SRR1458113	-43.47473278960567	-42.7323289197323	Adipose - Subcutaneous	177323.05835829704
SRR1464258	-44.95187571171417	-24.83110500897603	Adipose - Subcutaneous	181825.21403351153
SRR655182	46.94326631951254	-22.392349164307443	Adipose - Subcutaneous	162950.65133984492
SRR1311018	-5.801034580538525	-15.884877947460977	Adipose - Subcutaneous	173245.32456513046
SRR1071453	-1.279699460339445	-15.890231292689128	Adipose - Subcutaneous	170661.37360971858
SRR1431757	-116.62505588401142	-42.523924821515365	Adipose - Subcutaneous	191515.41155740115
SRR654862	-55.46643799132272	-40.45350755202753	Adipose - Subcutaneous	178455.54710286215
SRR807543	-84.58512325874668	-37.34288592151612	Adipose - Subcutaneous	185392.8130526141
SRR809853	-30.06237582433917	-32.8993694597899	Adipose - Subcutaneous	176579.91208067752
SRR1405660	-25.178741491791513	-36.997558221619435	Adipose - Subcutaneous	176060.37773170782
SRR1478547	-27.980868780793976	-28.98080135190312	Adipose - Subcutaneous	172299.52234705523
SRR1464766	-49.16428287613358	-29.375058468015702	Adipose - Subcutaneous	177342.96997609956
SRR1332069	-39.43798814861333	-19.77631424416482	Adipose - Subcutaneous	177570.59720335156
SRR1454201	-26.627905226094235	-32.23509378685925	Adipose - Subcutaneous	176557.56986453227
SRR1432253	-29.169319101230364	-28.162439569675286	Adipose - Subcutaneous	176472.11340822018
SRR612263	43.69461307037246	-21.981698228034052	Adipose - Subcutaneous	162987.8473732582
SRR1420109	20.94291958531455	-26.840328198658572	Adipose - Subcutaneous	165698.64929525036
SRR663489	-95.30536494849161	-38.34737154038014	Adipose - Subcutaneous	185726.92459909836
SRR1486973	-48.21953252563777	-27.534506298658375	Adipose - Subcutaneous	177559.14653529064
SRR1386689	-52.834944603786134	-18.374060567634835	Adipose - Subcutaneous	180889.78382649994
SRR1345146	-22.06471411144129	-36.771897177264975	Adipose - Subcutaneous	173953.6482994338
SRR613550	1.296312440106559	-22.742551613134303	Adipose - Subcutaneous	170466.3834138527
SRR1453811	-10.213308134930529	-25.987670196069853	Adipose - Subcutaneous	174053.00717094872
SRR1485722	-49.20639404461648	-36.58121116775118	Adipose - Subcutaneous	180507.8546843118
SRR1100677	34.55713463144159	-26.669479825148677	Adipose - Subcutaneous	162985.18501796701
SRR1337342	-4.765830380588788	-33.656892159476655	Adipose - Subcutaneous	171457.58155465036
SRR657599	18.54219696348616	-8.831525058506477	Adipose - Subcutaneous	171905.60988024692
SRR612707	-6.563019294943386	-34.117848519846945	Adipose - Subcutaneous	170490.689500657
SRR1070503	-27.30481125141734	-31.28857951573131	Adipose - Subcutaneous	175363.37220972477
SRR1396616	2.807184471688047	-27.626237967743773	Adipose - Subcutaneous	169393.97433096837
SRR613675	135.62779356445216	-19.769805002236538	Adipose - Subcutaneous	149996.3283827111
SRR1338426	-38.71985476142119	-44.39220166680898	Adipose - Subcutaneous	176098.81539180625
SRR1473632	4.674443641091475	-27.256302723069858	Adipose - Subcutaneous	169278.07452849695
SRR665310	-129.81694906960715	-38.292310070160866	Adipose - Subcutaneous	192398.29097361275
SRR1415004	15.515793927386477	-20.643136616254264	Adipose - Subcutaneous	167441.61964788532
SRR1405525	-23.193944649362596	-35.69678994612047	Adipose - Subcutaneous	175335.28339502064
SRR1081567	-8.661854849609274	-26.51435152490077	Adipose - Subcutaneous	171284.8012678764
SRR1465001	-80.20481561410394	-27.23295476737904	Adipose - Subcutaneous	185838.3961025169
SRR659804	-103.46747817173244	-30.463094892315443	Adipose - Subcutaneous	190036.3959509755
SRR1433392	-21.316933215209342	-27.158700690465025	Adipose - Subcutaneous	174684.4720823378
SRR1478228	-23.8502147340708	-24.244897367288043	Adipose - Subcutaneous	177035.14365582186
SRR1433555	-21.33521961632655	-39.40641074256888	Adipose - Subcutaneous	173593.64722255393
SRR810643	-101.62118304062312	-34.86488872033005	Adipose - Subcutaneous	190817.1950990167
SRR1322936	-24.25423927992741	-42.47902479716652	Adipose - Subcutaneous	175141.21986033444
SRR659109	-50.66699767617284	-38.088189784671755	Adipose - Subcutaneous	177896.100562115
SRR1430549	-77.31895079025276	-35.701845921753346	Adipose - Subcutaneous	185236.1277769288
SRR818797	-89.66833507786907	-30.975100641163902	Adipose - Subcutaneous	189227.0523005698
SRR1317446	-12.669926322117282	-28.29413505590568	Adipose - Subcutaneous	172232.3918310578
SRR1363968	-51.61188112282394	-24.664656217596118	Adipose - Subcutaneous	181292.1198598864
SRR1347819	-49.953979813995346	-35.88197023942921	Adipose - Subcutaneous	178305.23254655226
SRR1099096	-27.394679156639178	-24.701205138425923	Adipose - Subcutaneous	175944.44524489983
