	PC1	PC2	smtsd	lib_size
SRR665634	53.13668338781221	-14.118615078575607	Adipose - Subcutaneous	164392.60405701495
SRR1354931	18.04033316891623	-16.008045094860382	Adipose - Subcutaneous	168042.50618757983
SRR1070184	9.296399999726258	-25.838637893985844	Adipose - Subcutaneous	170938.54875267897
SRR1435229	-1.672921776088328	-34.987794064916294	Adipose - Subcutaneous	171703.19908277548
SRR1413602	14.429076076170775	-33.75670713964955	Adipose - Subcutaneous	167425.17549394915
SRR1498838	-76.06332577651668	-35.84462121654961	Adipose - Subcutaneous	181944.57309950306
SRR1073581	-15.25893954009436	-21.69358668040372	Adipose - Subcutaneous	174647.91566906444
SRR660847	-5.271020280380661	-19.569995945906253	Adipose - Subcutaneous	171325.1106373797
SRR1375329	-23.966699047780946	-45.11687322553205	Adipose - Subcutaneous	175673.52119538526
SRR1395554	33.06152151702485	-28.06314814710449	Adipose - Subcutaneous	162982.79585426173
SRR1413501	8.55605240022009	-39.94380768647477	Adipose - Subcutaneous	165679.9422322947
SRR1500450	-7.621442457707403	-20.983021665054064	Adipose - Subcutaneous	171287.30219461865
SRR660614	20.416911016904606	-35.4759114922781	Adipose - Subcutaneous	165853.46645911117
SRR1310275	-22.880318725601374	-38.39147090976276	Adipose - Subcutaneous	174544.29741824634
SRR1498931	-8.213750343539074	-11.352777291392478	Adipose - Subcutaneous	171296.79991252272
SRR614119	147.6291753849553	-1.973247471556989	Adipose - Subcutaneous	146883.33761841131
SRR1318879	5.701137233056226	-32.58731481205875	Adipose - Subcutaneous	168911.66973124683
SRR1437390	5.778010465593268	-20.114480921340327	Adipose - Subcutaneous	170245.69554499126
SRR615237	100.73194830722281	-12.215096234331048	Adipose - Subcutaneous	153538.1295980432
SRR1489199	-8.022194387278601	-30.116813862584475	Adipose - Subcutaneous	170825.74289154974
SRR1376939	-68.17382686969388	-39.48411757003427	Adipose - Subcutaneous	181540.27228006988
SRR1407250	-4.144478615650083	-33.84858001301753	Adipose - Subcutaneous	172980.42869023533
SRR1441159	5.410293731770381	-20.975473853790305	Adipose - Subcutaneous	171317.26726086618
SRR664795	-157.30037697999725	-34.26630970432887	Adipose - Subcutaneous	198563.7835141617
SRR615946	317.62302481651426	14.864927897905453	Adipose - Subcutaneous	118270.2330308104
SRR1420067	-1.0362781481714767	-25.982178866028175	Adipose - Subcutaneous	171738.49278334415
SRR1097013	-69.7956940637771	-33.49757769082641	Adipose - Subcutaneous	182546.18838590477
SRR1454909	-16.45762810486366	-34.915833862373354	Adipose - Subcutaneous	172473.1221549921
SRR808019	-85.23885715699593	-31.618113329266922	Adipose - Subcutaneous	187585.64218890376
SRR816316	-82.68216234905555	-40.19847246501995	Adipose - Subcutaneous	187148.55713897638
SRR1315225	-78.17614743539275	-20.875927976487006	Adipose - Subcutaneous	188128.17370785732
SRR1317410	-29.991506102723495	-21.690762532424372	Adipose - Subcutaneous	177580.18641944655
SRR1485740	-20.5871734367888	-25.815865599810582	Adipose - Subcutaneous	174108.03357379982
SRR1401211	-63.268754328398956	-20.520967198161703	Adipose - Subcutaneous	182878.61944031063
SRR1078489	-23.60136833888754	-39.3671592705723	Adipose - Subcutaneous	171208.61479516007
SRR1416313	-24.879873845924898	-29.081390329939136	Adipose - Subcutaneous	173054.62683699126
SRR608150	-40.529800645880854	-38.4186336984366	Adipose - Subcutaneous	179956.1863872474
SRR661108	71.8471861661586	-19.65099707944856	Adipose - Subcutaneous	160014.10317478928
SRR1473714	-2.8654362094507038	-8.369372300368124	Adipose - Subcutaneous	179299.96448779694
SRR1400847	-31.283816562470275	-22.94486027624121	Adipose - Subcutaneous	175331.94744800442
SRR1454739	-43.39564770800149	-33.857365826331566	Adipose - Subcutaneous	180768.0891847544
SRR1311266	-28.53955175274334	-34.46332636484958	Adipose - Subcutaneous	176945.46858399623
SRR1090407	-17.844531002871864	-29.630931911549247	Adipose - Subcutaneous	173115.33819364553
SRR1101643	-73.01993168188339	-25.371003175627422	Adipose - Subcutaneous	187557.9050247507
SRR660462	-40.92127527296494	-32.42497113986438	Adipose - Subcutaneous	175033.16692068696
SRR1353199	31.15926103910692	-17.66979080442388	Adipose - Subcutaneous	163592.51161010377
SRR1327834	-13.709625153364003	-29.58172231961869	Adipose - Subcutaneous	171347.81055880437
SRR1485613	-31.155929736998164	-23.29972380030212	Adipose - Subcutaneous	175559.71536791
SRR1488449	-67.84422583046442	-36.07853763606688	Adipose - Subcutaneous	181575.56174552266
SRR613390	44.561735981415275	-14.514636009592618	Adipose - Subcutaneous	164315.15449939092
SRR1420873	-89.28229614822497	-29.847459672064087	Adipose - Subcutaneous	187088.85353801993
SRR1445637	-8.839573869228275	-24.751212947195327	Adipose - Subcutaneous	171873.65543640588
SRR1400202	-79.49508274593204	-27.298338052878588	Adipose - Subcutaneous	183667.11077285593
SRR660764	202.81996199436583	-2.1874928785420416	Adipose - Subcutaneous	138521.3439457863
SRR1399797	-60.12360914560518	-40.483613512914985	Adipose - Subcutaneous	179736.4561075758
SRR809018	-101.05862978997493	-33.28056837571979	Adipose - Subcutaneous	186174.96745389386
SRR662103	44.15883663550147	-5.21022449119682	Adipose - Subcutaneous	164442.13443614534
SRR1312501	-63.46926855511603	-41.77347850976579	Adipose - Subcutaneous	179547.51661091068
SRR1468722	-26.681212895460998	-32.30087711128275	Adipose - Subcutaneous	172989.2968133546
SRR1310584	-18.713027118627522	-21.882752846293233	Adipose - Subcutaneous	176670.86084404352
SRR1400974	-20.822568445511784	-31.671294503558627	Adipose - Subcutaneous	171595.99423387
SRR614395	-27.401288662849844	-21.599942150793588	Adipose - Subcutaneous	175756.51367781428
SRR1486889	-47.58850091524812	-28.52357290731384	Adipose - Subcutaneous	177813.49608428817
SRR1479133	-43.188377971027194	-33.48927166662538	Adipose - Subcutaneous	179915.95164732687
SRR614864	-17.29414982043393	-30.89457108929373	Adipose - Subcutaneous	174138.9897072317
SRR1408393	4.670507232702446	-30.49865207242282	Adipose - Subcutaneous	166739.46193609713
SRR1319204	38.47185962013971	-28.962126014699397	Adipose - Subcutaneous	163059.02836584678
SRR1404209	-47.58270648137936	-35.105054521718934	Adipose - Subcutaneous	178843.0381491903
SRR1080459	-21.714502875564456	-41.901627085450066	Adipose - Subcutaneous	173351.33941987707
SRR1476102	20.062193550005382	-24.917868149241894	Adipose - Subcutaneous	168161.36017321877
SRR1500216	-60.507832052229546	-35.72071672810653	Adipose - Subcutaneous	184576.93037019222
SRR1373694	33.505578054268504	-26.32629809786087	Adipose - Subcutaneous	164149.6649968009
SRR1433410	-42.877640778019995	-36.029863084003566	Adipose - Subcutaneous	178999.65548282466
SRR1485521	-22.3053511985523	-18.77936932846851	Adipose - Subcutaneous	174884.6149691796
SRR1317771	-78.52057416193176	-34.2285331195656	Adipose - Subcutaneous	183534.42727230547
SRR1457854	-3.421352270549322	-22.392353698823136	Adipose - Subcutaneous	170837.14650344703
SRR1359062	-19.5788376555887	-40.83083894919703	Adipose - Subcutaneous	173276.33571609727
SRR655531	-165.9241986469743	-41.41469460996054	Adipose - Subcutaneous	199289.15690108127
SRR1467080	32.75328544565238	-31.71244995798408	Adipose - Subcutaneous	161207.81674359337
SRR1477949	-50.22675619312629	-30.668518240412894	Adipose - Subcutaneous	181519.04287771552
SRR1368597	-33.73724418642609	-29.6540406763114	Adipose - Subcutaneous	175896.8551949521
SRR658754	-68.59030139687903	-39.002597586555304	Adipose - Subcutaneous	181088.00592162466
SRR1328620	-19.14946865521713	-34.41007136609409	Adipose - Subcutaneous	174590.72055890044
SRR663197	182.71119270267334	-10.009681768664684	Adipose - Subcutaneous	141620.14019959877
SRR1096383	-49.168992301812544	-23.611211875611602	Adipose - Subcutaneous	180921.99780998606
SRR1387856	-3.7521024196092756	-31.862889703617785	Adipose - Subcutaneous	172842.4314803316
SRR1380764	-20.792331474690123	-25.004235659623017	Adipose - Subcutaneous	175728.10800059026
SRR662114	2.957453892934599	-39.58037821332274	Adipose - Subcutaneous	170875.66367703132
SRR1419917	-79.00807055234549	-29.559001717335228	Adipose - Subcutaneous	183863.64158837282
SRR1319882	14.875987122190736	-23.090882904655377	Adipose - Subcutaneous	167687.95297158358
SRR1460320	-22.80658793850571	-16.72312562479247	Adipose - Subcutaneous	175161.75767490058
SRR1456881	-28.541420504011207	-28.486843571172408	Adipose - Subcutaneous	178346.95069791217
SRR1433950	28.543712017332744	-24.05184529987194	Adipose - Subcutaneous	166482.7330047937
SRR1452164	-25.917502132673413	-23.200678069517682	Adipose - Subcutaneous	176008.36577568244
SRR1332969	-23.08451811466443	-30.939967997891667	Adipose - Subcutaneous	172350.83615379862
SRR661167	-16.737608834246853	-25.980346774098606	Adipose - Subcutaneous	173208.27135561884
SRR812536	82.86371983102892	-5.080090173869293	Adipose - Subcutaneous	156032.6628149
SRR1416654	21.720534724534208	-28.92562703059915	Adipose - Subcutaneous	165650.58369443082
SRR1500113	16.101510694068416	-21.809987350933582	Adipose - Subcutaneous	168648.5417352508
SRR655637	-45.81564879072653	-22.574317465976097	Adipose - Subcutaneous	177658.8326412857
SRR1500240	-11.108836200462232	-20.77055756440538	Adipose - Subcutaneous	172906.97946496855
SRR1095575	-1.25410738066238	-22.189715631011744	Adipose - Subcutaneous	169282.73271572965
SRR1454995	-25.680377010535278	-19.30732777915784	Adipose - Subcutaneous	175228.52365598298
SRR1318354	-53.352574849954856	-45.88189625069448	Adipose - Subcutaneous	178171.38071559902
SRR1447303	-85.98630375478042	-42.30340503169777	Adipose - Subcutaneous	186721.65002476462
SRR1416248	-21.6813247300425	-27.023465378644993	Adipose - Subcutaneous	175230.1727792191
SRR1085996	-5.817986367457458	-34.592352986064796	Adipose - Subcutaneous	171772.0787700047
SRR1485312	-8.986311580323664	-29.409934158585312	Adipose - Subcutaneous	171749.09995964274
SRR819459	-73.79573832587367	-33.22191928853191	Adipose - Subcutaneous	183092.4481255731
SRR1382890	-8.659982208438835	-36.27144050860556	Adipose - Subcutaneous	168894.50712079997
SRR1337192	-76.2856824675268	-40.95578929609452	Adipose - Subcutaneous	187451.7402461138
SRR1499521	-39.06394770539042	-22.33458213092959	Adipose - Subcutaneous	179208.08605987058
SRR1317365	-17.500812970270456	-19.631420794191648	Adipose - Subcutaneous	174775.135251228
SRR813137	-71.74743182844684	-17.856946848723506	Adipose - Subcutaneous	183025.05174701294
SRR1363858	-76.13600513704056	-36.35204488755535	Adipose - Subcutaneous	187549.2068022074
SRR1398924	-24.750679054885655	-49.73114472659201	Adipose - Subcutaneous	174982.95009117693
SRR1433926	-29.910408323317938	-15.721481719828684	Adipose - Subcutaneous	177840.13608167734
SRR1486520	-50.3719675141007	-31.572197062368154	Adipose - Subcutaneous	181553.59136959346
SRR1366648	-30.153203163787023	-30.15326969206486	Adipose - Subcutaneous	173007.21523276766
SRR1330920	-121.02489867568416	-47.03851329649404	Adipose - Subcutaneous	192640.74733727548
SRR1332424	-41.170878636003714	-40.608497215274504	Adipose - Subcutaneous	180578.43329177273
SRR1458290	-37.24407322350324	-30.453625359579235	Adipose - Subcutaneous	177322.99314185744
SRR1409854	-138.54191431759355	-43.21571991805944	Adipose - Subcutaneous	194122.48549117387
SRR1455017	-31.294481076301533	-26.17520567617174	Adipose - Subcutaneous	176996.07330743744
SRR1346773	3.842537671471247	-33.84584935538007	Adipose - Subcutaneous	169695.0562915735
SRR1430333	-44.68750851859777	-38.065460426915095	Adipose - Subcutaneous	179832.21242227432
SRR612815	297.7221371662845	21.153628332724626	Adipose - Subcutaneous	125030.33367702315
SRR613342	132.76386268895038	-10.296121221924535	Adipose - Subcutaneous	148186.22742045924
SRR654898	-135.02835729484028	-42.25906183492196	Adipose - Subcutaneous	192065.22530819578
SRR661313	10.077809399811885	-18.866696961594528	Adipose - Subcutaneous	170548.16920497388
SRR657949	55.83974150244744	-23.891036608014137	Adipose - Subcutaneous	158751.8162372075
SRR2170173	-145.85637440645968	-27.555528705089042	Adipose - Subcutaneous	193430.94961095887
SRR1452270	-44.52683628753127	-32.49703460708414	Adipose - Subcutaneous	178101.67716451065
SRR1100419	-24.515640875044088	-26.350738015810997	Adipose - Subcutaneous	174433.6372746906
SRR1413329	-18.012455827073623	-30.484130984927166	Adipose - Subcutaneous	173710.7312654892
SRR1075971	20.252876884012426	-20.853649239080212	Adipose - Subcutaneous	166564.18598769797
SRR1085134	-55.51569987190001	-14.481307191337788	Adipose - Subcutaneous	182408.08331076516
SRR663440	-27.649762173335805	-30.53122830816117	Adipose - Subcutaneous	174988.6220020191
SRR613150	138.37987799848764	-3.115654187800617	Adipose - Subcutaneous	147268.26587181308
SRR1452468	-47.854891982877	-42.151080913146544	Adipose - Subcutaneous	178115.9194822181
SRR814387	-134.78903317235708	-36.52784705807375	Adipose - Subcutaneous	195662.42943548138
SRR1410678	-32.311043420640104	-19.804580979761923	Adipose - Subcutaneous	177606.10404676106
SRR818821	-95.41052087698776	-39.050237173412015	Adipose - Subcutaneous	186504.6928102458
SRR1402962	-77.80567199633835	-38.70865285972022	Adipose - Subcutaneous	185242.24131535145
SRR658953	-107.75584659014545	-44.18821536599477	Adipose - Subcutaneous	187818.1211268197
SRR1455195	-36.19781745307947	-32.63754760660549	Adipose - Subcutaneous	178453.02151101147
SRR1316367	-31.22296327522599	-36.316279378168936	Adipose - Subcutaneous	176019.7655963905
SRR613915	9.2871288539869	-23.31724534846771	Adipose - Subcutaneous	170307.22630523532
SRR1079522	33.361193574201856	-34.12340822351668	Adipose - Subcutaneous	163855.13090224052
SRR613234	48.13124427536501	-25.236571367497767	Adipose - Subcutaneous	163404.56581133086
SRR665551	-83.75118108057312	-25.21483417574663	Adipose - Subcutaneous	186753.9668592485
SRR819820	-79.50478044931235	-33.451694704288634	Adipose - Subcutaneous	186758.9955414078
SRR1365291	9.581687076095358	-30.54906479415776	Adipose - Subcutaneous	168382.95957839247
SRR1359447	58.68875440600804	-31.009714311438437	Adipose - Subcutaneous	158098.54831947366
SRR1080270	-28.491574180703388	-34.644273172884844	Adipose - Subcutaneous	175050.66516180997
SRR615069	53.13386860267943	-30.095110181634517	Adipose - Subcutaneous	163222.73231291684
SRR1091572	-59.58492741471375	-29.741174973589125	Adipose - Subcutaneous	181755.9348463756
SRR1347459	-172.93952056973163	-53.5355715384783	Adipose - Subcutaneous	201125.4394153976
SRR1337606	-27.958342000374916	-41.92481812911944	Adipose - Subcutaneous	175953.689886986
SRR661651	111.35606870071814	-13.165433565634338	Adipose - Subcutaneous	152473.53110976913
SRR1325906	5.160776872712626	-19.05807397720623	Adipose - Subcutaneous	169236.48458457092
SRR1105198	22.532283457487008	-29.574264717139176	Adipose - Subcutaneous	166168.39694416214
SRR661589	-153.47016166570967	-38.63139322254861	Adipose - Subcutaneous	198804.6020988377
SRR613896	51.17878541497086	-27.995316080857375	Adipose - Subcutaneous	158829.65439028488
SRR1429846	-54.90923183155165	-29.60921389410529	Adipose - Subcutaneous	181176.1000796099
