run	sample	read_count_as_reported_by_sra	reads_downloaded	proportion_of_reads_reported_by_sra_downloaded	mapped_read_count	auc	avg_read_length	sampid	smrin	smts	smtsd	smntrart	smmaprt	smexncrt	smgnsdtc	smmncpb	smestlbs	smmppd	smnterrt	smrrnanm	smrdttl	smvqcfl	smtrscpt	smexpeff	smrrnart
SRR660306	SRS389719	143247334	143247334	1	101410186	7175885598	152	GTEX-TSE9-0326-SM-3DB82	7.4	Nerve	Nerve - Tibial	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR816015	SRS408555	141343540	141343540	1	135112981	10180646176	152	GTEX-WY7C-2526-SM-3NB2N	8.6	Muscle	Muscle - Skeletal	0.97721994	0.9145042	0.92374027	23329	75.97704	46682120	109656698	0.022585735	2209791	119908362	21435178	137165	0.8447643	0.018428998
SRR1389909	SRS636336	138368724	138368724	1	136727603	10328224835	152	GTEX-11P81-1526-SM-5P9GS	8.5	Ovary	Ovary	0.975027	0.94231445	0.8227456	27348	101.67295	133629820	126301799	0.024670336	674457	134033598	4335126	149557	0.7752851	0.0050319997
SRR812970	SRS408389	136839492	136839492	1	130572792	9829867030	152	GTEX-WK11-0006-SM-3NB3J	8.4	Blood	Whole Blood	0.97939676	0.8995072	0.8717744	23608	69.856804	34782784	104086629	0.020441357	2286531	115715172	21124320	136446	0.78416735	0.019759994
SRR1485892	SRS649550	136266924	136266924	1	134487604	10147280829	152	GTEX-14BIN-0011-R6a-SM-5S2RH	9.2	Brain	Brain - Nucleus accumbens (basal ganglia)	0.9467597	0.946361	0.85399574	27281	77.3078	69768291	121857561	0.052963994	8992129	128764354	7502570	149357	0.80818826	0.069833994
SRR1380716	SRS634794	134461104	134461104	1	128765386	9725788583	152	GTEX-145LT-1626-SM-5O992	8.7	Muscle	Muscle - Skeletal	0.9845606	0.94716173	0.9364498	22376	89.47619	52957090	111056390	0.015249667	1687839	117251778	17209326	133937	0.8869694	0.014394998
SRR1455060	SRS645842	133025718	133025718	1	130268202	9823446240	152	GTEX-13PLJ-0011-R11b-SM-5O9BS	7.2	Brain	Brain - Cerebellar Hemisphere	0.94314814	0.91119754	0.81628215	26031	59.049168	50172775	116055524	0.056664802	9776608	127365930	5659788	144709	0.74379426	0.076759994
SRR1499584	SRS650128	132967882	132967882	1	128093054	9627761104	152	GTEX-ZP4G-0726-SM-4WWF2	8.9	Uterus	Uterus	0.97495633	0.9219897	0.8779623	26736	91.49138	124214056	107361176	0.024687648	1051266	116445098	16522784	148006	0.80947214	0.009027997
SRR1073217	SRS524387	131797300	131797300	1	128481338	9706158738	152	GTEX-XMK1-1726-SM-4B64Z	8.3	Colon	Colon - Transverse	0.9775585	0.93450266	0.87017906	27068	88.19795	83400580	112131407	0.021450235	1276458	119990466	11806834	150568	0.8131846	0.010637996
SRR665551	SRS389769	131546840	131546840	1	109481943	8012960069	152	GTEX-SSA3-0226-SM-32QPN	7.7	Adipose Tissue	Adipose - Subcutaneous	0.9777792	0.76146346	0.8853013	24919	19.43871	10441874	86655535	0.021970276	647757	113801306	17745534	143530	0.6741246	0.005692
SRR664854	SRS390015	129820118	129820118	1	117675809	8720436632	152	GTEX-QDT8-2926-SM-32PKC	6.5	Brain	Brain - Cortex	0.95768297	0.8391578	0.8658708	26534	34.805584	20436250	99094034	0.042038616	6860882	118087482	11732636	148052	0.7266022	0.058099996
SRR817070	SRS408633	129809936	129809936	1	124080728	9354151543	152	GTEX-OHPL-0526-SM-3NM8U	8.5	Lung	Lung	0.97777706	0.91587424	0.8731203	26561	75.152374	83770390	99698551	0.02176498	851690	108856164	20953772	149621	0.79966843	0.007823994
SRR656107	SRS389132	127383418	127383418	1	71597602	4575742925	152	GTEX-SJXC-0126-SM-2XCFF	7.4	Skin	Skin - Sun Exposed (Lower leg)	0.9768455	0.39362627	0.85854036	23981	13.356023	7599011	44447565	0.022974668	291441	112918182	14465236	139861	0.33794406	0.0025809926
SRR811697	SRS408342	126060740	126060740	1	121761519	9194252153	152	GTEX-WRHK-0826-SM-3MJFG	7.2	Adipose Tissue	Adipose - Visceral (Omentum)	0.9820876	0.93069416	0.8952451	25422	68.43788	53134995	102604192	0.017702883	1105865	110244798	15815942	145789	0.8331994	0.010030995
SRR810713	SRS408298	125556672	125556672	1	121069368	9127879634	152	GTEX-P4QT-1326-SM-3NMD3	8	Adrenal Gland	Adrenal Gland	0.98282737	0.9272242	0.90551	24829	72.92722	49350367	103906197	0.016908327	2090060	112061566	13495106	143886	0.8396108	0.018650997
SRR1337909	SRS627742	125316428	125316428	1	123845318	9355661840	152	GTEX-144GL-0011-R3a-SM-5P9HP	7	Brain	Brain - Anterior cingulate cortex (BA24)	0.958665	0.94093686	0.88988477	26595	69.80018	52226000	114395249	0.0409964	10614305	121575902	3740526	148839	0.8373254	0.08730599
SRR1397094	SRS637677	124480118	124480118	1	122731882	9268733028	152	GTEX-13X6K-0011-R6a-SM-5P9K6	8.3	Brain	Brain - Nucleus accumbens (basal ganglia)	0.94808733	0.9349351	0.8443923	27958	76.913376	89096663	112628060	0.051498584	6843201	120466182	4013936	152557	0.789452	0.05680599
SRR817686	SRS408661	122843922	122843922	1	117085713	8839251746	152	GTEX-X4XX-0011-R2A-SM-3P623	7.6	Brain	Brain - Substantia nigra	0.9690819	0.91572183	0.8672601	25791	83.74614	84695171	99393606	0.030599935	3008003	108541260	14302662	146236	0.79416907	0.02771299
SRR818821	SRS408744	122288616	122288616	1	116890359	8805219856	152	GTEX-Q2AH-1726-SM-3NB2B	7.4	Adipose Tissue	Adipose - Subcutaneous	0.9795089	0.90782267	0.8912768	24950	62.200073	49761133	94130254	0.020249898	918364	103687934	18600682	143303	0.80912125	0.008857
SRR612803	SRS374764	121110084	121110084	1	94602746	6785681031	152	GTEX-QXCU-1726-SM-2TC6L	7.3	Muscle	Muscle - Skeletal	0.9663414	0.61425376	0.88403594	21749	39.2878	26467852	61773923	0.033504087	3051819	100567434	20542650	130943	0.5430224	0.030345997
SRR1330792	SRS627069	120959256	120959256	1	119188227	9003987465	152	GTEX-11DXX-0226-SM-5P9HL	6.5	Thyroid	Thyroid	0.977123	0.93979967	0.83809614	26469	85.08276	90153466	109902920	0.022666804	817547	116942920	4016336	148442	0.78764254	0.006990992
SRR815116	SRS408498	120829730	120829730	1	117031300	8829870336	152	GTEX-P4QS-0626-SM-3NMD1	8.1	Esophagus	Esophagus - Mucosa	0.9785659	0.9269837	0.8759136	26845	72.25784	65866580	100107356	0.021047125	741153	107992574	12837156	149870	0.81195766	0.0068629994
SRR1468613	SRS648313	119736648	119736648	1	116440435	8796981730	152	GTEX-Y5V6-0826-SM-4VBRU	8.1	Heart	Heart - Left Ventricle	0.98636204	0.9289026	0.92394173	23315	58.071228	33440853	101227511	0.01344424	3037252	108975372	10761276	138446	0.85825187	0.027870994
SRR815256	SRS408504	118704428	118704428	1	113400399	8564399208	152	GTEX-POMQ-1226-SM-3P61F	8.4	Uterus	Uterus	0.9794091	0.9158624	0.8801414	25668	82.041435	104354240	96271142	0.020239657	578449	105115294	13589134	146459	0.8060883	0.0055029956
